PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32070766","Carfentanil toxicity in the African green monkey: Therapeutic efficacy of naloxone","Langston JL, Moffett MC, Makar JR, Burgan BM, Myers TM.","Toxicol Lett. 2020 Jun 1;325:34-42. doi: 10.1016/j.toxlet.2020.02.008. Epub 2020 Feb 15.","Langston JL","Toxicol Lett","2020","2020/02/20","","","10.1016/j.toxlet.2020.02.008"
"32027630","Carfentanil Outbreak - Florida, 2016-2017","Delcher C, Wang Y, Vega RS, Halpin J, Gladden RM, O'Donnell JK, Hvozdovich JA, Goldberger BA.","MMWR Morb Mortal Wkly Rep. 2020 Feb 7;69(5):125-129. doi: 10.15585/mmwr.mm6905a2.","Delcher C","MMWR Morb Mortal Wkly Rep","2020","2020/02/07","PMC7004395","","10.15585/mmwr.mm6905a2"
"31665765","Higher naloxone dosing may be required for opioid overdose","Bardsley R.","Am J Health Syst Pharm. 2019 Oct 30;76(22):1835-1837. doi: 10.1093/ajhp/zxz208.","Bardsley R","Am J Health Syst Pharm","2019","2019/10/31","","","10.1093/ajhp/zxz208"
"31582737","Reduced mu opioid receptor availability in schizophrenia revealed with [(11)C]-carfentanil positron emission tomographic Imaging","Ashok AH, Myers J, Reis Marques T, Rabiner EA, Howes OD.","Nat Commun. 2019 Oct 3;10(1):4493. doi: 10.1038/s41467-019-12366-4.","Ashok AH","Nat Commun","2019","2019/10/05","PMC6776653","","10.1038/s41467-019-12366-4"
"31539569","Changes in murine respiratory dynamics induced by aerosolized carfentanil inhalation: Efficacy of naloxone and naltrexone","Tuet WY, Pierce SA, Racine MC, Tressler J, McCranor BJ, Sciuto AM, Wong B.","Toxicol Lett. 2019 Nov;316:127-135. doi: 10.1016/j.toxlet.2019.09.012. Epub 2019 Sep 17.","Tuet WY","Toxicol Lett","2019","2019/09/21","","","10.1016/j.toxlet.2019.09.012"
"31504606","Unique Structural/Stereo-Isomer and Isobar Analysis of Novel Fentanyl Analogues in Postmortem and DUID Whole Blood by UHPLC-MS-MS","Sofalvi S, Lavins ES, Brooker IT, Kaspar CK, Kucmanic J, Mazzola CD, Mitchell-Mata CL, Clyde CL, Rico RN, Apollonio LG, Goggin C, Marshall B, Moore D, Gilson TP.","J Anal Toxicol. 2019 Oct 17;43(9):673-687. doi: 10.1093/jat/bkz056.","Sofalvi S","J Anal Toxicol","2019","2019/09/11","","","10.1093/jat/bkz056"
"31146200","Street fentanyl use: Experiences, preferences, and concordance between self-reports and urine toxicology","Daniulaityte R, Carlson RR, Juhascik MP, Strayer KE, Sizemore IE.","Int J Drug Policy. 2019 Sep;71:3-9. doi: 10.1016/j.drugpo.2019.05.020. Epub 2019 May 27.","Daniulaityte R","Int J Drug Policy","2019","2019/05/31","PMC6868314","NIHMS1530081","10.1016/j.drugpo.2019.05.020"
"31063883","Detection of fentanyl and fentanyl analogues in biological samples using liquid chromatography-high resolution mass spectrometry","Rab E, Flanagan RJ, Hudson S.","Forensic Sci Int. 2019 Jul;300:13-18. doi: 10.1016/j.forsciint.2019.04.008. Epub 2019 Apr 17.","Rab E","Forensic Sci Int","2019","2019/05/08","","","10.1016/j.forsciint.2019.04.008"
"30867551","Intranasal naloxone rapidly occupies brain mu-opioid receptors in human subjects","Johansson J, Hirvonen J, Lovró Z, Ekblad L, Kaasinen V, Rajasilta O, Helin S, Tuisku J, Sirén S, Pennanen M, Agrawal A, Crystal R, Vainio PJ, Alho H, Scheinin M.","Neuropsychopharmacology. 2019 Aug;44(9):1667-1673. doi: 10.1038/s41386-019-0368-x. Epub 2019 Mar 13.","Johansson J","Neuropsychopharmacology","2019","2019/03/15","PMC6785104","","10.1038/s41386-019-0368-x"
"30829994","Combative Treatment for Carfentanil Epidemic","Konapur R, Searls N, Babcock CCK, Blough E, Patel I.","J Addict Nurs. 2019 Jan/Mar;30(1):2-3. doi: 10.1097/JAN.0000000000000266.","Konapur R","J Addict Nurs","2019","2019/03/05","","","10.1097/JAN.0000000000000266"
