PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30320606","Punishment and reinforcement by opioid receptor agonists in a choice procedure in rats","Minervini V, Osteicoechea DC, Casalez A, France CP.","Behav Pharmacol. 2019 Jun;30(4):335-342. doi: 10.1097/FBP.0000000000000436.","Minervini V","Behav Pharmacol","2019","2018/10/16","PMC6461530","NIHMS1504544","10.1097/FBP.0000000000000436"
"29785554","Interactions between kappa and mu opioid receptor agonists: effects of the ratio of drugs in mixtures","Minervini V, Lu HY, Padarti J, Osteicoechea DC, France CP.","Psychopharmacology (Berl). 2018 Aug;235(8):2245-2256. doi: 10.1007/s00213-018-4920-x. Epub 2018 May 22.","Minervini V","Psychopharmacology (Berl)","2018","2018/05/23","PMC6045970","NIHMS969725","10.1007/s00213-018-4920-x"
"27903642","Behavioral Characterization of κ Opioid Receptor Agonist Spiradoline and Cannabinoid Receptor Agonist CP55940 Mixtures in Rats","Minervini V, Dahal S, France CP.","J Pharmacol Exp Ther. 2017 Feb;360(2):280-287. doi: 10.1124/jpet.116.235630. Epub 2016 Nov 30.","Minervini V","J Pharmacol Exp Ther","2017","2016/12/02","PMC5267513","","10.1124/jpet.116.235630"
"26292184","Additive antinociceptive effects of mixtures of the κ-opioid receptor agonist spiradoline and the cannabinoid receptor agonist CP55940 in rats","Maguire DR, France CP.","Behav Pharmacol. 2016 Feb;27(1):69-72. doi: 10.1097/FBP.0000000000000184.","Maguire DR","Behav Pharmacol","2016","2015/08/21","PMC4684971","NIHMS712324","10.1097/FBP.0000000000000184"
"24920732","Effects of peripheral and spinal κ-opioid receptor stimulation on the exercise pressor reflex in decerebrate rats","Copp SW, Stone AJ, Yamauchi K, Kaufman MP.","Am J Physiol Regul Integr Comp Physiol. 2014 Aug 1;307(3):R281-9. doi: 10.1152/ajpregu.00156.2014. Epub 2014 Jun 11.","Copp SW","Am J Physiol Regul Integr Comp Physiol","2014","2014/06/13","PMC4121628","","10.1152/ajpregu.00156.2014"
"24796820","Brief prenatal ethanol exposure alters behavioral sensitivity to the kappa opioid receptor agonist (U62,066E) and antagonist (Nor-BNI) and reduces kappa opioid receptor expression","Nizhnikov ME, Pautassi RM, Carter JM, Landin JD, Varlinskaya EI, Bordner KA, Werner DF, Spear NE.","Alcohol Clin Exp Res. 2014 Jun;38(6):1630-8. doi: 10.1111/acer.12416. Epub 2014 May 5.","Nizhnikov ME","Alcohol Clin Exp Res","2014","2014/05/07","","","10.1111/acer.12416"
"24776303","New evidence of ethanol's anxiolytic properties in the infant rat","Miranda-Morales RS, Nizhnikov ME, Waters DH, Spear NE.","Alcohol. 2014 Jun;48(4):367-74. doi: 10.1016/j.alcohol.2014.01.007. Epub 2014 Apr 8.","Miranda-Morales RS","Alcohol","2014","2014/04/30","PMC4035812","NIHMS584415","10.1016/j.alcohol.2014.01.007"
"24128363","Fischer rats are more sensitive than Lewis rats to the suppressive effects of morphine and the aversive kappa-opioid agonist spiradoline","Freet CS, Wheeler RA, Leuenberger E, Mosblech NA, Grigson PS.","Behav Neurosci. 2013 Oct;127(5):763-70. doi: 10.1037/a0033943.","Freet CS","Behav Neurosci","2013","2013/10/17","PMC3973147","NIHMS564064","10.1037/a0033943"
"23775530","Age-dependent effects of stress on ethanol-induced motor activity in rats","Acevedo MB, Pautassi RM, Spear NE, Spear LP.","Psychopharmacology (Berl). 2013 Dec;230(3):389-98. doi: 10.1007/s00213-013-3163-0. Epub 2013 Jun 18.","Acevedo MB","Psychopharmacology (Berl)","2013","2013/06/19","PMC3859917","NIHMS495106","10.1007/s00213-013-3163-0"
"23604334","Pharmacological activation of kappa opioid receptors: aversive effects in adolescent and adult male rats","Anderson RI, Morales M, Spear LP, Varlinskaya EI.","Psychopharmacology (Berl). 2014 Apr;231(8):1687-93. doi: 10.1007/s00213-013-3095-8. Epub 2013 Apr 19.","Anderson RI","Psychopharmacology (Berl)","2014","2013/04/23","PMC3760984","NIHMS470572","10.1007/s00213-013-3095-8"
