PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31722774","A study of the use of post-operative opioid analgesics following rhinology surgery in 35 patients","Dodhia S, Patel S, Beghal G, Pandey K, Hopkins C.","J Laryngol Otol. 2019 Dec;133(12):1050-1052. doi: 10.1017/S0022215119002251. Epub 2019 Nov 14.","Dodhia S","J Laryngol Otol","2019","2019/11/15","","","10.1017/S0022215119002251"
"31691978","Adult and infant pharmacokinetic profiling of dihydrocodeine using physiologically based pharmacokinetic modeling","Ota M, Shimizu M, Kamiya Y, Emoto C, Fukuda T, Yamazaki H.","Biopharm Drug Dispos. 2019 Nov;40(9):350-357. doi: 10.1002/bdd.2209. Epub 2019 Nov 21.","Ota M","Biopharm Drug Dispos","2019","2019/11/07","","","10.1002/bdd.2209"
"31261035","Time course detection of dihydrocodeine in body hair after a single dose","Ramírez Fernández MDM, Wille SMR, Di Fazio V, Samyn N.","Forensic Sci Int. 2019 Sep;302:109864. doi: 10.1016/j.forsciint.2019.06.022. Epub 2019 Jun 25.","Ramírez Fernández MDM","Forensic Sci Int","2019","2019/07/02","","","10.1016/j.forsciint.2019.06.022"
"30828021","[Message from the President of the Japanese Society for the Study of Xenobiotics]","Yamazaki H.","Yakugaku Zasshi. 2019;139(3):415-417. doi: 10.1248/yakushi.18-00186-5.","Yamazaki H","Yakugaku Zasshi","2019","2019/03/05","","","10.1248/yakushi.18-00186-5"
"30769311","Identification of opioids in surface and wastewaters by LC/QTOF-MS using retrospective data analysis","Campos-Mañas MC, Ferrer I, Thurman EM, Sánchez Pérez JA, Agüera A.","Sci Total Environ. 2019 May 10;664:874-884. doi: 10.1016/j.scitotenv.2019.01.389. Epub 2019 Jan 30.","Campos-Mañas MC","Sci Total Environ","2019","2019/02/16","","","10.1016/j.scitotenv.2019.01.389"
"30634113","Relative toxicity of analgesics commonly used for intentional self-poisoning: A study of case fatality based on fatal and non-fatal overdoses","Hawton K, Ferrey A, Casey D, Wells C, Fuller A, Bankhead C, Clements C, Ness J, Gunnell D, Kapur N, Geulayov G.","J Affect Disord. 2019 Mar 1;246:814-819. doi: 10.1016/j.jad.2019.01.002. Epub 2019 Jan 4.","Hawton K","J Affect Disord","2019","2019/01/12","","","10.1016/j.jad.2019.01.002"
"29513392","Cannabis-based medicines for chronic neuropathic pain in adults","Mücke M, Phillips T, Radbruch L, Petzke F, Häuser W.","Cochrane Database Syst Rev. 2018 Mar 7;3(3):CD012182. doi: 10.1002/14651858.CD012182.pub2.","Mücke M","Cochrane Database Syst Rev","2018","2018/03/08","PMC6494210","","10.1002/14651858.CD012182.pub2"
"29389842","Dihydrocodeine Overdoses in a Neonate and in a 14-year-old Girl Who Were Both Genotyped as Cytochrome P450 2D6*1/*10-*36: Comparing Developmental Ages and Drug Monitoring Data With the Results of Pharmacokinetic Modeling","Shimizu M, Kondo T, Fukuoka T, Tanaka T, Yamazaki H.","Ther Drug Monit. 2018 Apr;40(2):162-165. doi: 10.1097/FTD.0000000000000482.","Shimizu M","Ther Drug Monit","2018","2018/02/02","","","10.1097/FTD.0000000000000482"
"28192113","A Randomized Clinical Trial Comparing the Effects of Antitussive Agents on Respiratory Center Output in Patients With Chronic Cough","Mannini C, Lavorini F, Zanasi A, Saibene F, Lanata L, Fontana G.","Chest. 2017 Jun;151(6):1288-1294. doi: 10.1016/j.chest.2017.02.001. Epub 2017 Feb 10.","Mannini C","Chest","2017","2017/02/14","","","10.1016/j.chest.2017.02.001"
"28027389","Paracetamol (acetaminophen) with or without codeine or dihydrocodeine for neuropathic pain in adults","Wiffen PJ, Knaggs R, Derry S, Cole P, Phillips T, Moore RA.","Cochrane Database Syst Rev. 2016 Dec 27;12(12):CD012227. doi: 10.1002/14651858.CD012227.pub2.","Wiffen PJ","Cochrane Database Syst Rev","2016","2016/12/28","PMC6463878","","10.1002/14651858.CD012227.pub2"
"27042732","""Weak"" opioid analgesics. Codeine, dihydrocodeine and tramadol: no less risky than morphine","","Prescrire Int. 2016 Feb;25(168):45-50.","","Prescrire Int","2016","2016/04/05","","",""
"26689716","UPLC-MS-MS Determination of Dihydrocodeine in Human Plasma and Its Application to a Pharmacokinetic Study","Zhang WM, Duan YP, Li W, Qiu JF, Zhang ZY.","J Chromatogr Sci. 2016 Apr;54(4):569-73. doi: 10.1093/chromsci/bmv188. Epub 2015 Dec 20.","Zhang WM","J Chromatogr Sci","2016","2015/12/23","PMC4885392","","10.1093/chromsci/bmv188"
"26479786","Dihydrocodeine: safety concerns","Leppert W, Woroń J.","Expert Rev Clin Pharmacol. 2016;9(1):9-12. doi: 10.1586/17512433.2016.1092871. Epub 2015 Oct 19.","Leppert W","Expert Rev Clin Pharmacol","2016","2015/10/20","","","10.1586/17512433.2016.1092871"
"26062190","[Clinical observation of auricular point sticking combined with western medicine for preventing and treating postoperative complications of external excision and internal ligation on mixed hemorrhoid]","Long Q, Li J, Wen Y.","Zhongguo Zhen Jiu. 2015 Mar;35(3):237-40.","Long Q","Zhongguo Zhen Jiu","2015","2015/06/12","","",""
"25965875","Simultaneous determination of acetaminophen and dihydrocodeine in human plasma by UPLC-MS/MS: Its pharmacokinetic application","Qiu X, Lou D, Su D, Liu Z, Gao P, Zhang NS.","J Chromatogr B Analyt Technol Biomed Life Sci. 2015 Jun 15;992:91-5. doi: 10.1016/j.jchromb.2015.04.031. Epub 2015 Apr 27.","Qiu X","J Chromatogr B Analyt Technol Biomed Life Sci","2015","2015/05/13","","","10.1016/j.jchromb.2015.04.031"
"25962610","Prescription Opioids. IV: Disposition of Hydrocodone in Oral Fluid and Blood Following Single-Dose Administration","Cone EJ, DePriest AZ, Heltsley R, Black DL, Mitchell JM, LoDico C, Flegel R.","J Anal Toxicol. 2015 Sep;39(7):510-8. doi: 10.1093/jat/bkv050. Epub 2015 May 10.","Cone EJ","J Anal Toxicol","2015","2015/05/13","","","10.1093/jat/bkv050"
"25541075","Evaluation and comparison of postmortem hydrocodone concentrations in peripheral blood, central blood and liver specimens: a minimal potential for redistribution","Saitman A, Fitzgerald RL, McIntyre IM.","Forensic Sci Int. 2015 Feb;247:36-40. doi: 10.1016/j.forsciint.2014.11.031. Epub 2014 Dec 8.","Saitman A","Forensic Sci Int","2015","2014/12/27","","","10.1016/j.forsciint.2014.11.031"
"25519865","Failure to identify or effectively manage prescription opioid dependence acted as a gateway to heroin use-buprenorphine/naloxone treatment and recovery in a surgical patient","Conroy S, Hill D.","BMJ Case Rep. 2014 Dec 17;2014:bcr2014207458. doi: 10.1136/bcr-2014-207458.","Conroy S","BMJ Case Rep","2014","2014/12/19","PMC4275746","","10.1136/bcr-2014-207458"
"25409173","Acute generalized exanthematous pustulosis caused by dihydrocodeine phosphate in a patient with psoriasis vulgaris and a heterozygous IL36RN mutation","Nakai N, Sugiura K, Akiyama M, Katoh N.","JAMA Dermatol. 2015 Mar;151(3):311-5. doi: 10.1001/jamadermatol.2014.3002.","Nakai N","JAMA Dermatol","2015","2014/11/20","","","10.1001/jamadermatol.2014.3002"
"25271381","Enantioselective synthesis of (-)-dihydrocodeine and formal synthesis of (-)-thebaine, (-)-codeine, and (-)-morphine from a deprotonated α-aminonitrile","Geffe M, Opatz T.","Org Lett. 2014 Oct 17;16(20):5282-5. doi: 10.1021/ol5023849. Epub 2014 Oct 1.","Geffe M","Org Lett","2014","2014/10/02","","","10.1021/ol5023849"
"25217537","Multi-drug and metabolite quantification in postmortem blood by liquid chromatography-high-resolution mass spectrometry: comparison with nominal mass technology","Rosano TG, Na S, Ihenetu K, Swift TA, Wood M.","J Anal Toxicol. 2014 Oct;38(8):495-506. doi: 10.1093/jat/bku066.","Rosano TG","J Anal Toxicol","2014","2014/09/14","","","10.1093/jat/bku066"
"24788888","Comprehensive automation of the solid phase extraction gas chromatographic mass spectrometric analysis (SPE-GC/MS) of opioids, cocaine, and metabolites from serum and other matrices","Lerch O, Temme O, Daldrup T.","Anal Bioanal Chem. 2014 Jul;406(18):4443-51. doi: 10.1007/s00216-014-7815-7. Epub 2014 May 2.","Lerch O","Anal Bioanal Chem","2014","2014/05/03","PMC4077260","","10.1007/s00216-014-7815-7"
"24661702","Hair analysis to demonstrate administration of amitriptyline, temazepam, tramadol and dihydrocodeine to a child in a case of kidnap and false imprisonment","Chatterton C, Kintz P.","J Forensic Leg Med. 2014 Mar;23:26-31. doi: 10.1016/j.jflm.2014.01.005. Epub 2014 Jan 25.","Chatterton C","J Forensic Leg Med","2014","2014/03/26","","","10.1016/j.jflm.2014.01.005"
"24508716","Will data destroy our faith in long-acting opioids?","Sullivan M.","Pain. 2014 May;155(5):843-4. doi: 10.1016/j.pain.2014.01.032. Epub 2014 Feb 6.","Sullivan M","Pain","2014","2014/02/11","","","10.1016/j.pain.2014.01.032"
"24345428","A randomized, double-blind, double-dummy comparison of short- and long-acting dihydrocodeine in chronic non-malignant pain","Pedersen L, Borchgrevink PC, Breivik HP, Fredheim OM.","Pain. 2014 May;155(5):881-8. doi: 10.1016/j.pain.2013.12.016. Epub 2013 Dec 15.","Pedersen L","Pain","2014","2013/12/19","","","10.1016/j.pain.2013.12.016"
"23946451","Prescription opioids. II. Metabolism and excretion patterns of hydrocodone in urine following controlled single-dose administration","Cone EJ, Heltsley R, Black DL, Mitchell JM, Lodico CP, Flegel RR.","J Anal Toxicol. 2013 Oct;37(8):486-94. doi: 10.1093/jat/bkt066. Epub 2013 Aug 14.","Cone EJ","J Anal Toxicol","2013","2013/08/16","","","10.1093/jat/bkt066"
"23544224","The advantages and limitations of the analgesics available for control of postoperative pain after a dental procedure","Davey J.","SAAD Dig. 2013 Jan;29:70-81.","Davey J","SAAD Dig","2013","2013/04/02","","",""
"23179857","Applications of minimal physiologically-based pharmacokinetic models","Cao Y, Jusko WJ.","J Pharmacokinet Pharmacodyn. 2012 Dec;39(6):711-23. doi: 10.1007/s10928-012-9280-2. Epub 2012 Nov 23.","Cao Y","J Pharmacokinet Pharmacodyn","2012","2012/11/27","PMC3539784","NIHMS430946","10.1007/s10928-012-9280-2"
"23121038","A fatal case due to cough syrup abuse","Kinoshita H, Tanaka N, Jamal M, Kumihashi M, Okuzono R, Ameno K.","Soud Lek. 2012 Oct;57(4):69-70.","Kinoshita H","Soud Lek","2012","2012/11/06","","",""
"22965181","[Life-threatening opioid overdose. Decoding the physician pin code of a patient-controlled anesthesia pump by patients]","Imhof K, Krall K, Gombotz H.","Anaesthesist. 2012 Sep;61(9):815-9. doi: 10.1007/s00101-012-2068-3.","Imhof K","Anaesthesist","2012","2012/09/12","","","10.1007/s00101-012-2068-3"
