PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32166325","Response to Dr Braillon","Mueller S.","Alcohol Alcohol. 2020 Apr 16;55(3):338. doi: 10.1093/alcalc/agaa016.","Mueller S","Alcohol Alcohol","2020","2020/03/14","","","10.1093/alcalc/agaa016"
"32115477","[Pharmacological profile and clinical findings of nalmefene (Selincro(®)) for reducing alcohol consumption in patients with alcohol dependence]","Tadori Y.","Nihon Yakurigaku Zasshi. 2020;155(2):113-119. doi: 10.1254/fpj.19136.","Tadori Y","Nihon Yakurigaku Zasshi","2020","2020/03/03","","","10.1254/fpj.19136"
"31876051","Response to 'Nalmefene in alcohol-dependent patients with a high drinking risk: A limited efficacy in reducing alcohol consumption'","Higuchi S, Miyata H, Hayashi T.","Psychiatry Clin Neurosci. 2020 Mar;74(3):219-220. doi: 10.1111/pcn.12971. Epub 2020 Jan 25.","Higuchi S","Psychiatry Clin Neurosci","2020","2019/12/27","PMC7064995","","10.1111/pcn.12971"
"31868031","Safety of nalmefene for the treatment of alcohol use disorder: an update","López-Pelayo H, Zuluaga P, Caballeria E, Van den Brink W, Mann K, Gual A.","Expert Opin Drug Saf. 2020 Jan;19(1):9-17. doi: 10.1080/14740338.2020.1707802. Epub 2019 Dec 30.","López-Pelayo H","Expert Opin Drug Saf","2020","2019/12/24","","","10.1080/14740338.2020.1707802"
"31526369","Vibration of effects from diverse inclusion/exclusion criteria and analytical choices: 9216 different ways to perform an indirect comparison meta-analysis","Palpacuer C, Hammas K, Duprez R, Laviolle B, Ioannidis JPA, Naudet F.","BMC Med. 2019 Sep 16;17(1):174. doi: 10.1186/s12916-019-1409-3.","Palpacuer C","BMC Med","2019","2019/09/19","PMC6747755","","10.1186/s12916-019-1409-3"
"31298784","Nalmefene in alcohol-dependent patients with a high drinking risk: Randomized controlled trial","Miyata H, Takahashi M, Murai Y, Tsuneyoshi K, Hayashi T, Meulien D, Sørensen P, Higuchi S.","Psychiatry Clin Neurosci. 2019 Nov;73(11):697-706. doi: 10.1111/pcn.12914. Epub 2019 Aug 5.","Miyata H","Psychiatry Clin Neurosci","2019","2019/07/13","PMC6899457","","10.1111/pcn.12914"
"30940694","Fighting Fire with Fire: Development of Intranasal Nalmefene to Treat Synthetic Opioid Overdose","Krieter P, Gyaw S, Crystal R, Skolnick P.","J Pharmacol Exp Ther. 2019 Nov;371(2):409-415. doi: 10.1124/jpet.118.256115. Epub 2019 Apr 2.","Krieter P","J Pharmacol Exp Ther","2019","2019/04/04","PMC6863453","","10.1124/jpet.118.256115"
"30539185","Simultaneous extraction of acidic and basic drugs via on-chip electromembrane extraction using a single-compartment microfluidic device","Zarghampour F , Yamini Y , Baharfar M , Faraji M .","Analyst. 2019 Feb 11;144(4):1159-1166. doi: 10.1039/c8an01668b.","Zarghampour F","Analyst","2019","2018/12/13","","","10.1039/c8an01668b"
"30485854","Nalmefene, Given as Needed, in the Routine Treatment of Patients with Alcohol Dependence: An Interventional, Open-Label Study in Primary Care","Castera P, Stewart E, Großkopf J, Brotons C, Brix Schou M, Zhang D, Steiniger Brach B, Meulien D; on behalf of the PICASO Study Investigators.","Eur Addict Res. 2018;24(6):293-303. doi: 10.1159/000494692. Epub 2018 Nov 28.","Castera P","Eur Addict Res","2018","2018/11/29","","","10.1159/000494692"
"30482648","[Drugs that require a visa, principle of equity and quality of care]","Muquebil Ali Al Shaban Rodriguez OW, Barrio Nespereira A, Álvarez Casariego MT.","J Healthc Qual Res. 2018 Nov-Dec;33(6):370-371. doi: 10.1016/j.jhqr.2018.09.003. Epub 2018 Nov 24.","Muquebil Ali Al Shaban Rodriguez OW","J Healthc Qual Res","2018","2018/11/29","","","10.1016/j.jhqr.2018.09.003"
"30421743","[Use of drugs for alcohol use disorder in Norway 2004–16]","Heldal AT, Skurtveit S, Lobmaier PPK, Vederhus JK, Bramness JG.","Tidsskr Nor Laegeforen. 2018 Nov 8;138(18). doi: 10.4045/tidsskr.18.0383. Print 2018 Nov 13.","Heldal AT","Tidsskr Nor Laegeforen","2018","2018/11/14","","","10.4045/tidsskr.18.0383"
