PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20052871","[Sagan (Françoise), Blondin, Palfium and writings]","Nau JY.","Rev Med Suisse. 2009 Nov 18;5(226):2362.","Nau JY","Rev Med Suisse","2009","2010/01/08","","",""
"16966202","Zolpidem and dextromoramide abuse with increased metabolism","Djezzar S, Dugarin J, Dally S.","Am J Addict. 2006 Sep-Oct;15(5):405-6. doi: 10.1080/10550490600860643.","Djezzar S","Am J Addict","2006","2006/09/13","","","10.1080/10550490600860643"
"16042030","Egocentric disorientation following bilateral parietal lobe damage","Wilson BA, Berry E, Gracey F, Harrison C, Stow I, Macniven J, Weatherley J, Young AW.","Cortex. 2005 Aug;41(4):547-54. doi: 10.1016/s0010-9452(08)70194-1.","Wilson BA","Cortex","2005","2005/07/27","","","10.1016/s0010-9452(08)70194-1"
"15268688","Comparison of perioperative racemic methadone, levo-methadone and dextromoramide in cats using indicators of post-operative pain","Rohrer Bley C, Neiger-Aeschbacher G, Busato A, Schatzmann U.","Vet Anaesth Analg. 2004 Jul;31(3):175-82. doi: 10.1111/j.1467-2987.2004.00148.x.","Rohrer Bley C","Vet Anaesth Analg","2004","2004/07/23","","","10.1111/j.1467-2987.2004.00148.x"
"15262026","Improving the acceptability of the atrial defibrillator for the treatment of persistent atrial fibrillation: the atrial defibrillator sedation assessment study (ADSAS)","Mitchell AR, Spurrell PA, Gerritse BE, Sulke N.","Int J Cardiol. 2004 Aug;96(2):141-5. doi: 10.1016/j.ijcard.2003.04.060.","Mitchell AR","Int J Cardiol","2004","2004/07/21","","","10.1016/j.ijcard.2003.04.060"
"14495763","[3 years' use of D-moramide in anesthesiology. Clinical and experimental observations]","SABATHIE M.","Anaesthesist. 1962 Jan;11:20-2.","SABATHIE M","Anaesthesist","1962","1962/01/01","","",""
"14495181","[Intraoperative singultus; treatment with dextromoramide]","RUGGERINI R, ZECCA C.","Anaesthesist. 1961 Sep;10:265-8.","RUGGERINI R","Anaesthesist","1961","1961/09/01","","",""
"14488116","[On the subject of 1400 cases of the association of dextromoramide and local anesthesia in O.R.L. surgery]","PORTMANN M, CLAVERIE G, DANTEC A, SABATHIE M.","Rev Laryngol Otol Rhinol (Bord). 1962 May-Jun;83:409-32.","PORTMANN M","Rev Laryngol Otol Rhinol (Bord)","1962","1962/05/01","","",""
"14471444","Dextromoramide analgesia in the acute general medical patient","MATTS SG.","Practitioner. 1962 Apr;188:524-6.","MATTS SG","Practitioner","1962","1962/04/01","","",""
"14450647","[Action of various pharmacological agents on the exhaustion time and behavior of mice swimming at 20 degrees C. II. Analgesics (morphine, dextromoramide, methadone, pethidine and 3570 CT). Influence of repetition of the test]","JACOB J, MICHAUD G.","Arch Int Pharmacodyn Ther. 1962 Feb 1;135:462-71.","JACOB J","Arch Int Pharmacodyn Ther","1962","1962/02/01","","",""
"14445093","[Clinical observations on a new synthetic analgesic: 1-(2,2-diphenyl-3-methyl-4-morpholino)-butyrylpyrolidine (dextrorotatory isomer). (R-875, ""palfium"")]","SERRA GC, OTTOLENGHI R, SIMEONE L.","Minerva Anestesiol. 1960 Jan;26:14-23.","SERRA GC","Minerva Anestesiol","1960","1960/01/01","","",""
"14440962","Viadril anasthesia supplemented with palfium","SALENIUS P, HOLLMEN A.","Acta Anaesthesiol Scand. 1960;4:75-81. doi: 10.1111/j.1399-6576.1960.tb00064.x.","SALENIUS P","Acta Anaesthesiol Scand","1960","1960/01/01","","","10.1111/j.1399-6576.1960.tb00064.x"
"14440538","[Association of palfium with general anesthesia and local anesthesia. (Study on 243 cases)]","SABATHIE M, DANTEC A.","Anesth Analg (Paris). 1960 Mar-May;17:186-97.","SABATHIE M","Anesth Analg (Paris)","1960","1960/03/01","","",""
"14440537","[The use of palfium in otorhinolaryngological surgical practice]","SABATHIE M, DANTEC A, NICLAUSSE R.","Rev Laryngol Otol Rhinol (Bord). 1959 Nov;80:941-4.","SABATHIE M","Rev Laryngol Otol Rhinol (Bord)","1959","1959/11/01","","",""
"14432931","[Clinical trial of palfium in the course of normal labor]","PIGEAUD H, GEIGER J, MA RTIN P.","Bull Fed Soc Gynecol Obstet Lang Fr. 1960 Jan-Mar;12:69-70.","PIGEAUD H","Bull Fed Soc Gynecol Obstet Lang Fr","1960","1960/01/01","","",""
"14432677","[Study of the effect of pyrrolamidol (R 875) on the contraction of the isolated horn of the uterus]","PIAUX G, ROBEY M, DUFLOUX C.","Bull Fed Soc Gynecol Obstet Lang Fr. 1959;11:267-72.","PIAUX G","Bull Fed Soc Gynecol Obstet Lang Fr","1959","1959/01/01","","",""
"14425962","[On the antagonism between a morpholinic derivative (R. 875) and N-allyl-normorphine]","NANNI COSTA P.","Boll Soc Ital Biol Sper. 1960 Apr 15;36:309-12.","NANNI COSTA P","Boll Soc Ital Biol Sper","1960","1960/04/15","","",""
"14425961","[Effect of daptazole and megimide on respiratory depression induced by a synthetic morphinelike drug (R. 875)]","NANNI COSTA P.","Boll Soc Ital Biol Sper. 1960 Apr 15;36:314-5.","NANNI COSTA P","Boll Soc Ital Biol Sper","1960","1960/04/15","","",""
"14423419","[Palfium-dextromoramide (NFN). A warning]","MOLLER KO, SCHOU J.","Ugeskr Laeger. 1959 Dec 17;121:2007-8.","MOLLER KO","Ugeskr Laeger","1959","1959/12/17","","",""
"14422159","[Addiction to R 875 (Palfium)]","MASSION-VERNIORY L, DUMONT E, DELAUNOIS B.","Acta Neurol Psychiatr Belg. 1959 Jul;59:840-8.","MASSION-VERNIORY L","Acta Neurol Psychiatr Belg","1959","1959/07/01","","",""
"14422110","[Anatomopathological findings in experimental subacute poisoning by a synthetic analgesic (R-875)]","MASSARO O.","Folia Med (Napoli). 1960 Jan;43:57-65.","MASSARO O","Folia Med (Napoli)","1960","1960/01/01","","",""
"14416119","[The therapy of very severe pain with dextromoramide]","LEUTIGER H.","Dtsch Med Wochenschr. 1960 Feb 5;85:227-30. doi: 10.1055/s-0028-1112423.","LEUTIGER H","Dtsch Med Wochenschr","1960","1960/02/05","","","10.1055/s-0028-1112423"
"14406044","[Personal experience with a new synthetic analgestic: R-875]","IUSEM M, MOHADEB M.","Prensa Med Argent. 1959 Feb 13;46:407-10.","IUSEM M","Prensa Med Argent","1959","1959/02/13","","",""
"14326898","[EXPERIMENTAL ASPECTS OF NEUROLEPTANALGESIA. II. STUDY OF THE DEXTROMORAMIDE-LEVOMEPROMAZINE COMBINATION IN RATS]","BOISSIER JR, SIMON P, VIARS P.","Therapie. 1965 Mar-Apr;20:501-18.","BOISSIER JR","Therapie","1965","1965/03/01","","",""
"14321810","[DEXTROMORAMIDE IN PERIPHERAL SURGERY. (APROPOS OF 450 CASES)]","GAVEAU T, VIARS P.","Ann Chir Plast. 1965 Mar;10:52-4.","GAVEAU T","Ann Chir Plast","1965","1965/03/01","","",""
"14283371","[2 YEARS OF EXPERIENCE WITH DEXTROMORAMIDE]","GERMAIN V.","Anesth Analg (Paris). 1965 Jan-Mar;22:99-111.","GERMAIN V","Anesth Analg (Paris)","1965","1965/01/01","","",""
"14279027","[STUDIES ON THE EFFECT OF PALFIUM ON THE COURSE OF LABOR]","PRONIEWSKI J, ZANDBERG K.","Ginekol Pol. 1964 Nov-Dec;35:859-62.","PRONIEWSKI J","Ginekol Pol","1964","1964/11/01","","",""
"14262523","[CONTRIBUTION TO THE STUDY OF THE PREVENTION OF CONSTRAINT ULCER IN THE RAT BY SEVERAL CENTRAL DEPRESSORS]","BUCHEL L, GALLAIRE D.","C R Seances Soc Biol Fil. 1964;158:1853-7.","BUCHEL L","C R Seances Soc Biol Fil","1964","1964/01/01","","",""
"14242276","[CONTROLLABLE APNEA IN ANESTHESIA BY MEANS OF CENTRAL DEPRESSION DUE TO ANALGESICS]","PESCE A, RUGIERO G.","Gazz Int Med Chir. 1964 Nov 30;68:2084-8.","PESCE A","Gazz Int Med Chir","1964","1964/11/30","","",""
"14227991","[COMPLEMENTARY NOTE ON DEXTROMORAMIDE IN ANESTHESIA. ""THE RAPID METHOD""]","BLONDEAU P.","Anesth Analg (Paris). 1964 Oct-Dec;21:681-4.","BLONDEAU P","Anesth Analg (Paris)","1964","1964/10/01","","",""
