PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"14286703","THE POSTOPERATIVE COURSE AFTER NEUROLEPT-ANALGESIA. A CONTROLLED CLINICAL TRIAL","BONA G, KOCH G, VAN DER LINDEN W.","Acta Anaesthesiol Scand. 1965;9:21-8. doi: 10.1111/j.1399-6576.1965.tb00490.x.","BONA G","Acta Anaesthesiol Scand","1965","1965/01/01","","","10.1111/j.1399-6576.1965.tb00490.x"
"14243027","[NEUROLEPTANALGESIA. EXPERIENCES WITH TYPES I, II AND THEIR COMBINATION]","GUERTNER T, DOENICKE A, SPIESS W.","Anaesthesist. 1964 Jun;13:183-9.","GUERTNER T","Anaesthesist","1964","1964/06/01","","",""
"14219830","[ACTION OF SOME ANALGESICS ON RETICULAR, THALAMIC AND CORTICAL EVOKED ACTIVITIES]","MILLAN E, BESSON JM.","J Physiol (Paris). 1964 May-Jun;56:407-8.","MILLAN E","J Physiol (Paris)","1964","1964/05/01","","",""
"14217628","NEUROLEPTANALGESIA IN CATARACT EXTRACTION","MIETTINEN P, URSIN K, POENTINEN PJ, EEROLA R.","Acta Ophthalmol (Copenh). 1964;42:424-6. doi: 10.1111/j.1755-3768.1964.tb03632.x.","MIETTINEN P","Acta Ophthalmol (Copenh)","1964","1964/01/01","","","10.1111/j.1755-3768.1964.tb03632.x"
"14213919","ON CHANGES IN OCULAR TENSION DURING NEUROLEPTANALGESIA","MIETTINEN P, POHJANPELTO P, VALLE O, POENTINEN PJ, EEROLA R.","Acta Ophthalmol (Copenh). 1964;42:367-9. doi: 10.1111/j.1755-3768.1964.tb03623.x.","MIETTINEN P","Acta Ophthalmol (Copenh)","1964","1964/01/01","","","10.1111/j.1755-3768.1964.tb03623.x"
"14178403","[RECENT ANALOGUES OF MORPHINE]","SABATHIE M.","Cah Anesthesiol. 1964 Jun-Jul;12:159-96.","SABATHIE M","Cah Anesthesiol","1964","1964/06/01","","",""
"14145755","[NEW ANESTHETICS]","ZELLER K.","Gynaecologia. 1964;157:247-59.","ZELLER K","Gynaecologia","1964","1964/01/01","","",""
"14130073","PROGRESS IN ANAESTHESIA","KENNY S.","Ir J Med Sci. 1964 Mar;459:113-8. doi: 10.1007/BF02945451.","KENNY S","Ir J Med Sci","1964","1964/03/01","","","10.1007/BF02945451"
"14114433","NEUROLEPTANALGESIA FOR THE SURGICAL TREATMENT OF PARKINSONISM","BROWN AS.","Anaesthesia. 1964 Jan;19:70-4. doi: 10.1111/j.1365-2044.1964.tb03679.x.","BROWN AS","Anaesthesia","1964","1964/01/01","","","10.1111/j.1365-2044.1964.tb03679.x"
"14111157","[PRELIMINARY OBSERVATIONS ON THE USE OF NEUROLEPTOANALGESIA]","POLACZEK-KORNECKI T, ZELAZNY T.","Pol Tyg Lek. 1963 Nov 4;18:1683-5.","POLACZEK-KORNECKI T","Pol Tyg Lek","1963","1963/11/04","","",""
"14109428","ELECTROCARDIOGRAPHIC CHANGES DURING NEUROLEPT-ANALGESIA","EEROLA R, POENTINEN PJ, MIETTINEN P.","Acta Anaesthesiol Scand. 1963;7:187-90. doi: 10.1111/j.1399-6576.1963.tb00218.x.","EEROLA R","Acta Anaesthesiol Scand","1963","1963/01/01","","","10.1111/j.1399-6576.1963.tb00218.x"
"14025736","[Phenoperidine and pirinitramide. Comparative study of 2 new analgesics]","DE CASTRO J, DUPONT M.","Agressologie. 1962;3(Special):77-8.","DE CASTRO J","Agressologie","1962","1962/01/01","","",""
"14015906","Anaesthesia for neurosurgery. The use of Haloperidol and phenoperidine with light general anaesthesia","BROWN AS, HORTON JM, MACRAE WR.","Anaesthesia. 1963 Apr;18:143-50. doi: 10.1111/j.1365-2044.1963.tb13527.x.","BROWN AS","Anaesthesia","1963","1963/04/01","","","10.1111/j.1365-2044.1963.tb13527.x"
"13982528","Phenoperidine (R 1406), a new analgesic","ROLLASON WN, SUTHERLAND JS.","Anaesthesia. 1963 Jan;18:16-22. doi: 10.1111/j.1365-2044.1963.tb13699.x.","ROLLASON WN","Anaesthesia","1963","1963/01/01","","","10.1111/j.1365-2044.1963.tb13699.x"
"13873581","[Neuroleptic analgesia with haloperidol and phenoperidine as a new anesthesia method for neurosurgery]","BROWN AS.","Anaesthesist. 1962 Jan;11:22-5.","BROWN AS","Anaesthesist","1962","1962/01/01","","",""
"13867766","[On neuroleptic analgesia with Phenoperidin (R 1406) and Haloperidol (R 1625)]","BERGMANN H.","Anaesthesist. 1962 Apr;11:109-12.","BERGMANN H","Anaesthesist","1962","1962/04/01","","",""
