PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28414496","Impaired psychomotor function and plasma methadone and levo-alpha-acetylmethadol (LAAM) concentrations in opioid-substitution patients","Newcombe DAL, Somogyi AA, Bochner F, White JM.","Exp Clin Psychopharmacol. 2017 Jun;25(3):223-233. doi: 10.1037/pha0000114. Epub 2017 Apr 17.","Newcombe DAL","Exp Clin Psychopharmacol","2017","2017/04/18","","","10.1037/pha0000114"
"24957634","Maintenance treatments for opiate -dependent adolescents","Minozzi S, Amato L, Bellisario C, Davoli M.","Cochrane Database Syst Rev. 2014 Jun 24;(6):CD007210. doi: 10.1002/14651858.CD007210.pub3.","Minozzi S","Cochrane Database Syst Rev","2014","2014/06/25","","","10.1002/14651858.CD007210.pub3"
"24935116","Automated radiochemical synthesis and biodistribution of [¹¹C]l-α-acetylmethadol ([¹¹C]LAAM)","Sai KK, Fan J, Tu Z, Zerkel P, Mach RH, Kharasch ED.","Appl Radiat Isot. 2014 Sep;91:135-40. doi: 10.1016/j.apradiso.2014.05.019. Epub 2014 Jun 2.","Sai KK","Appl Radiat Isot","2014","2014/06/18","PMC4384447","NIHMS662051","10.1016/j.apradiso.2014.05.019"
"24076207","Affective and neuroendocrine effects of withdrawal from chronic, long-acting opiate administration","Hamilton KL, Harris AC, Gewirtz JC.","Brain Res. 2013 Nov 13;1538:73-82. doi: 10.1016/j.brainres.2013.09.026. Epub 2013 Sep 26.","Hamilton KL","Brain Res","2013","2013/10/01","PMC4053187","NIHMS532195","10.1016/j.brainres.2013.09.026"
"23093298","[Accidental levomethadone intoxication in a palliative patient]","Michel-Lauter B, Maier C, Schwarzer A.","Schmerz. 2012 Dec;26(6):721-3. doi: 10.1007/s00482-012-1229-2.","Michel-Lauter B","Schmerz","2012","2012/10/25","","","10.1007/s00482-012-1229-2"
"22263711","Opioid agonist maintenance for probationers: patient-level predictors of treatment retention, drug use, and crime","Gryczynski J, Kinlock TW, Kelly SM, O'Grady KE, Gordon MS, Schwartz RP.","Subst Abus. 2012;33(1):30-9. doi: 10.1080/08897077.2011.616816.","Gryczynski J","Subst Abus","2012","2012/01/24","","","10.1080/08897077.2011.616816"
"22021567","Opioids, QTc prolongation, and torsades","Kurt TL.","J Clin Pharmacol. 2012 Oct;52(10):1614. doi: 10.1177/0091270011422816. Epub 2011 Oct 21.","Kurt TL","J Clin Pharmacol","2012","2011/10/25","","","10.1177/0091270011422816"
"20667673","Methadone disposition in oral fluid during pharmacotherapy for opioid-dependence","Gray TR, Dams R, Choo RE, Jones HE, Huestis MA.","Forensic Sci Int. 2011 Mar 20;206(1-3):98-102. doi: 10.1016/j.forsciint.2010.06.031. Epub 2010 Jul 27.","Gray TR","Forensic Sci Int","2011","2010/07/30","PMC3012134","NIHMS226118","10.1016/j.forsciint.2010.06.031"
"20616264","No opiate substitutes for the masses of IDUs","Cohen J.","Science. 2010 Jul 9;329(5988):165-7. doi: 10.1126/science.329.5988.165.","Cohen J","Science","2010","2010/07/10","","","10.1126/science.329.5988.165"
"20163389","Effect of PTSD diagnosis and contingency management procedures on cocaine use in dually cocaine- and opioid-dependent individuals maintained on LAAM: a retrospective analysis","Mancino MJ, McGaugh J, Feldman Z, Poling J, Oliveto A.","Am J Addict. 2010 Mar-Apr;19(2):169-77. doi: 10.1111/j.1521-0391.2009.00025.x.","Mancino MJ","Am J Addict","2010","2010/02/19","PMC3472706","NIHMS393270","10.1111/j.1521-0391.2009.00025.x"
"19910741","Levomethadone is poorly removed by the molecular adsorbents recirculating system","Czock D, Keller F, Hameister J, Tiefenbach B, Mitzner S.","J Clin Psychopharmacol. 2009 Dec;29(6):622-4. doi: 10.1097/JCP.0b013e3181c28957.","Czock D","J Clin Psychopharmacol","2009","2009/11/14","","","10.1097/JCP.0b013e3181c28957"
"19370679","Maintenance treatments for opiate dependent adolescent","Minozzi S, Amato L, Davoli M.","Cochrane Database Syst Rev. 2009 Apr 15;(2):CD007210. doi: 10.1002/14651858.CD007210.pub2.","Minozzi S","Cochrane Database Syst Rev","2009","2009/04/17","","","10.1002/14651858.CD007210.pub2"
"19258204","Levo-alpha-acetylmethadol (LAAM) induced QTc-prolongation - results from a controlled clinical trial","Wieneke H, Conrads H, Wolstein J, Breuckmann F, Gastpar M, Erbel R, Scherbaum N.","Eur J Med Res. 2009 Jan 28;14(1):7-12. doi: 10.1186/2047-783x-14-1-7.","Wieneke H","Eur J Med Res","2009","2009/03/05","PMC3352205","","10.1186/2047-783x-14-1-7"
"19171177","Behavioral and degeneration changes in the basal forebrain systems of aged rats: a quantitative study in the region of the basal forebrain after levo-acetyl-carnitine treatments assessed by Abercrombie estimation","Freddi R, Duca P, Gritti I, Mariotti M, Vertemati M.","Prog Neuropsychopharmacol Biol Psychiatry. 2009 Apr 30;33(3):419-26. doi: 10.1016/j.pnpbp.2008.12.021. Epub 2009 Jan 7.","Freddi R","Prog Neuropsychopharmacol Biol Psychiatry","2009","2009/01/28","","","10.1016/j.pnpbp.2008.12.021"
"19153939","A randomized, open-label trial comparing methadone and Levo-Alpha-Acetylmethadol (LAAM) in maintenance treatment of opioid addiction","Wolstein J, Gastpar M, Finkbeiner T, Heinrich C, Heitkamp R, Poehlke T, Scherbaum N.","Pharmacopsychiatry. 2009 Jan;42(1):1-8. doi: 10.1055/s-0028-1083818. Epub 2009 Jan 19.","Wolstein J","Pharmacopsychiatry","2009","2009/01/21","","","10.1055/s-0028-1083818"
"19023658","Longitudinal effects of LAAM and methadone maintenance on heroin addict behavior","Anglin MD, Conner BT, Annon JJ, Longshore D.","J Behav Health Serv Res. 2009 Apr;36(2):267-82. doi: 10.1007/s11414-008-9155-x. Epub 2008 Nov 21.","Anglin MD","J Behav Health Serv Res","2009","2008/11/22","","","10.1007/s11414-008-9155-x"
"18770043","Effect of religiosity and spirituality on drug treatment outcomes","Conner BT, Anglin MD, Annon J, Longshore D.","J Behav Health Serv Res. 2009 Apr;36(2):189-98. doi: 10.1007/s11414-008-9145-z. Epub 2008 Sep 3.","Conner BT","J Behav Health Serv Res","2009","2008/09/05","PMC2693037","NIHMS103639","10.1007/s11414-008-9145-z"
"18585405","Sex and opioid maintenance dose influence response to naloxone in opioid-dependent humans: a retrospective analysis","Chopra MP, Feldman Z, Mancino MJ, Oliveto A.","Pharmacol Biochem Behav. 2008 Oct;90(4):787-96. doi: 10.1016/j.pbb.2008.05.023.","Chopra MP","Pharmacol Biochem Behav","2008","2008/07/01","PMC2577173","NIHMS64784","10.1016/j.pbb.2008.05.023"
"18262500","Prenatal opiate exposure impairs radial arm maze performance and reduces levels of BDNF precursor following training","Schrott LM, Franklin L', Serrano PA.","Brain Res. 2008 Mar 10;1198:132-40. doi: 10.1016/j.brainres.2008.01.020. Epub 2008 Jan 18.","Schrott LM","Brain Res","2008","2008/02/12","PMC2696491","NIHMS42256","10.1016/j.brainres.2008.01.020"
"18071169","QT-interval effects of methadone, levomethadyl, and buprenorphine in a randomized trial","Wedam EF, Bigelow GE, Johnson RE, Nuzzo PA, Haigney MC.","Arch Intern Med. 2007 Dec 10;167(22):2469-75. doi: 10.1001/archinte.167.22.2469.","Wedam EF","Arch Intern Med","2007","2007/12/12","","","10.1001/archinte.167.22.2469"
"17764707","Self administration of cocaine in monkeys receiving LAAM acutely or chronically","Gerak LR, Galici R, France CP.","Physiol Behav. 2008 Jan 28;93(1-2):20-6. doi: 10.1016/j.physbeh.2007.07.008. Epub 2007 Jul 28.","Gerak LR","Physiol Behav","2008","2007/09/04","PMC2700744","NIHMS38663","10.1016/j.physbeh.2007.07.008"
"17697277","Levo-alpha-acetylmethadol (LAAM) versus methadone maintenance: 1-year treatment retention, outcomes and status","Anglin MD, Conner BT, Annon J, Longshore D.","Addiction. 2007 Sep;102(9):1432-42. doi: 10.1111/j.1360-0443.2007.01935.x.","Anglin MD","Addiction","2007","2007/08/19","","","10.1111/j.1360-0443.2007.01935.x"
"17697269","Can LAAM, like Lazarus, come back from the dead?","Jaffe JH.","Addiction. 2007 Sep;102(9):1342-3. doi: 10.1111/j.1360-0443.2007.01976.x.","Jaffe JH","Addiction","2007","2007/08/19","","","10.1111/j.1360-0443.2007.01976.x"
"17690563","In vitro P-glycoprotein-mediated transport of (R)-, (S)-, (R,S)-methadone, LAAM and their main metabolites","Crettol S, Digon P, Golay KP, Brawand M, Eap CB.","Pharmacology. 2007;80(4):304-11. doi: 10.1159/000107104. Epub 2007 Aug 9.","Crettol S","Pharmacology","2007","2007/08/11","","","10.1159/000107104"
"17588493","Colocating buprenorphine with methadone maintenance and outpatient chemical dependency services","Whitley SD, Kunins HV, Arnsten JH, Gourevitch MN.","J Subst Abuse Treat. 2007 Jul;33(1):85-90. doi: 10.1016/j.jsat.2006.11.003. Epub 2007 Jan 9.","Whitley SD","J Subst Abuse Treat","2007","2007/06/26","","","10.1016/j.jsat.2006.11.003"
