PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32124744","Density and mineral content dynamics of bone tissue of the lower jaw of the rat on the background of opioid influence and after its withdrawal","Sohuyko R, Pavliv K, Masna-Chala O, Diskovskyi I, Masna Z.","Wiad Lek. 2019;72(12 cz 1):2300-2304.","Sohuyko R","Wiad Lek","2019","2020/03/04","","",""
"31648049","A dual system platform for drug metabolism: Nalbuphine as a model compound","Liang RJ, Shih YN, Chen YL, Liu WY, Yang WL, Lee SY, Wang HJ.","Eur J Pharm Sci. 2020 Jan 1;141:105093. doi: 10.1016/j.ejps.2019.105093. Epub 2019 Oct 21.","Liang RJ","Eur J Pharm Sci","2020","2019/10/25","","","10.1016/j.ejps.2019.105093"
"31584400","Use of Nalbuphine for Treatment of Neuraxial Opioid-Induced Pruritus: A Systematic Review and Meta-Analysis","Tubog TD, Harenberg JL, Buszta K, Hestand JD.","AANA J. 2019 Jun;87(3):222-230.","Tubog TD","AANA J","2019","2019/10/05","","",""
"31568781","Nalbuphine, a kappa opioid receptor agonist and mu opioid receptor antagonist attenuates pruritus, decreases IL-31, and increases IL-10 in mice with contact dermatitis","Inan S, Huerta AT, Jensen LE, Dun NJ, Cowan A.","Eur J Pharmacol. 2019 Dec 1;864:172702. doi: 10.1016/j.ejphar.2019.172702. Epub 2019 Sep 27.","Inan S","Eur J Pharmacol","2019","2019/10/01","PMC6913640","NIHMS1543830","10.1016/j.ejphar.2019.172702"
"31565898","Sedative, analgesic, behavioral and clinical effects of intravenous nalbuphine-xylazine combination in camels (Camelus dromedarius)","Khalil AH, Abd Al-Galil AS, Sabek AA, Zeineldin MM, Abo-Kora SY.","J Vet Sci. 2019 Sep;20(5):e55. doi: 10.4142/jvs.2019.20.e55.","Khalil AH","J Vet Sci","2019","2019/10/01","PMC6769325","","10.4142/jvs.2019.20.e55"
"31353989","Nalbuphine versus dexmedetomidine for treatment of combined spinal-epidural post-anesthetic shivering in pregnant women undergoing cesarean section","Sun J, Zheng Z, Li YL, Zou LW, Li GH, Wang XG, She BZ, Huang XL, Li YT.","J Int Med Res. 2019 Sep;47(9):4442-4453. doi: 10.1177/0300060519865063. Epub 2019 Jul 29.","Sun J","J Int Med Res","2019","2019/07/30","PMC6753531","","10.1177/0300060519865063"
"31301190","Effectiveness of nalbuphine, a κ-opioid receptor agonist and μ-opioid receptor antagonist, in the inhibition of I(Na) , I(K(M)) , and I(K(erg)) unlinked to interaction with opioid receptors","Liu YY, Hsiao HT, Wang JC, Liu YC, Wu SN.","Drug Dev Res. 2019 Sep;80(6):846-856. doi: 10.1002/ddr.21568. Epub 2019 Jul 13.","Liu YY","Drug Dev Res","2019","2019/07/14","","","10.1002/ddr.21568"
"31160169","Effect of three doses of nalbuphine on reversal of sedation and cardiopulmonary effects of morphine-acepromazine in healthy dogs","Gomes VH, Barcellos MC, Lima VC, de Moura RA, de Freitas JB, da Silva MF.","Vet Anaesth Analg. 2019 Jul;46(4):429-434. doi: 10.1016/j.vaa.2019.03.001. Epub 2019 Mar 21.","Gomes VH","Vet Anaesth Analg","2019","2019/06/05","","","10.1016/j.vaa.2019.03.001"
"31129046","The effects of lidocaine-prilocaine cream on responses to intravenous catheter placement in cats sedated with dexmedetomidine and either methadone or nalbuphine","Oliveira RL, Soares JH, Moreira CM, Silva CP, Carrasco LP, Souza HJ.","Vet Anaesth Analg. 2019 Jul;46(4):492-495. doi: 10.1016/j.vaa.2019.03.005. Epub 2019 Apr 11.","Oliveira RL","Vet Anaesth Analg","2019","2019/05/27","","","10.1016/j.vaa.2019.03.005"
"31092275","Nalbuphine suppresses breast cancer stem-like properties and epithelial-mesenchymal transition via the AKT-NFκB signaling pathway","Yu J, Luo Y, Wen Q.","J Exp Clin Cancer Res. 2019 May 15;38(1):197. doi: 10.1186/s13046-019-1184-1.","Yu J","J Exp Clin Cancer Res","2019","2019/05/17","PMC6521451","","10.1186/s13046-019-1184-1"
"31029001","Albizia anthelmintica: HPLC-MS/MS profiling and in vivo anti-inflammatory, pain killing and antipyretic activities of its leaf extract","Sobeh M, Rezq S, Sabry OM, Abdelfattah MAO, El Raey MA, El-Kashak WA, El-Shazly AM, Mahmoud MF, Wink M.","Biomed Pharmacother. 2019 Jul;115:108882. doi: 10.1016/j.biopha.2019.108882. Epub 2019 Apr 24.","Sobeh M","Biomed Pharmacother","2019","2019/04/28","","","10.1016/j.biopha.2019.108882"
"31013261","Nalbuphine Reduces Opioid-Associated Urinary Retention in Pediatric Patients","Reiter PD, Clevenger AC.","Pediatr Crit Care Med. 2019 May;20(5):e240-e244. doi: 10.1097/PCC.0000000000001920.","Reiter PD","Pediatr Crit Care Med","2019","2019/04/24","","","10.1097/PCC.0000000000001920"
"30885601","Postsurgery analgesic and sedative drug use in a French neonatal intensive care unit: A single-center retrospective cohort study","Benahmed-Canat A, Plaisant F, Riche B, Rabilloud M, Canat G, Paret N, Claris O, Kassai B, Nguyen KA.","Arch Pediatr. 2019 Apr;26(3):145-150. doi: 10.1016/j.arcped.2019.02.011. Epub 2019 Mar 15.","Benahmed-Canat A","Arch Pediatr","2019","2019/03/20","","","10.1016/j.arcped.2019.02.011"
"30885242","Comparing efficacy and safety between Naldebain(®) and intravenous patient-controlled analgesia with fentanyl for pain management post-laparotomy: study protocol for a randomized controlled, non-inferior trial","Tsai HL, Chang TK, Su WC, Yeh YS, Huang CW, Ma CJ, Wang JY.","Trials. 2019 Mar 18;20(1):173. doi: 10.1186/s13063-019-3260-4.","Tsai HL","Trials","2019","2019/03/20","PMC6423831","","10.1186/s13063-019-3260-4"
