PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31638217","Effects of D‑Ala2, D‑Leu5‑Enkephalin pre‑ and post‑conditioning in a rabbit model of spinal cord ischemia and reperfusion injury","Fu D, Liu H, Liu H, Yao J.","Mol Med Rep. 2019 Dec;20(6):4811-4820. doi: 10.3892/mmr.2019.10729. Epub 2019 Oct 7.","Fu D","Mol Med Rep","2019","2019/10/23","PMC6854538","","10.3892/mmr.2019.10729"
"31300611","Activation of HIF-1α by δ-Opioid Receptors Induces COX-2 Expression in Breast Cancer Cells and Leads to Paracrine Activation of Vascular Endothelial Cells","Schoos A, Gabriel C, Knab VM, Fux DA.","J Pharmacol Exp Ther. 2019 Sep;370(3):480-489. doi: 10.1124/jpet.119.257501. Epub 2019 Jul 12.","Schoos A","J Pharmacol Exp Ther","2019","2019/07/14","","","10.1124/jpet.119.257501"
"31141817","Role of RGS12 in the differential regulation of kappa opioid receptor-dependent signaling and behavior","Gross JD, Kaski SW, Schmidt KT, Cogan ES, Boyt KM, Wix K, Schroer AB, McElligott ZA, Siderovski DP, Setola V.","Neuropsychopharmacology. 2019 Sep;44(10):1728-1741. doi: 10.1038/s41386-019-0423-7. Epub 2019 May 29.","Gross JD","Neuropsychopharmacology","2019","2019/05/30","PMC6785087","","10.1038/s41386-019-0423-7"
"31071481","[D-Ala(2), D-Leu(5)] Enkephalin Improves Liver Preservation During Normothermic Ex Vivo Perfusion","Beal EW, Kim JL, Reader BF, Akateh C, Maynard K, Washburn WK, Zweier JL, Whitson BA, Black SM.","J Surg Res. 2019 Sep;241:323-335. doi: 10.1016/j.jss.2019.04.010. Epub 2019 May 6.","Beal EW","J Surg Res","2019","2019/05/10","","","10.1016/j.jss.2019.04.010"
"30689324","[The experimental clinical substantiation of treatment of patients with odontogenic phlegmon of maxillofacial area using Dаlargin in complex therapy.]","Platonova VV, Sevbitov AV, Shakaryants AA, Dorofeev AE.","Klin Lab Diagn. 2018;63(5):293-296. doi: 10.18821/0869-2084-2018-63-5-293-296.","Platonova VV","Klin Lab Diagn","2018","2019/01/29","","","10.18821/0869-2084-2018-63-5-293-296"
"30303664","[THE INFLUENCE OF DEFICIT OF ENDOGENOUS NEUROPEPTIDES ON THE CLINICAL COURSE OF CORONARY HEART DISEASE]","Dontsov AV.","Klin Med (Mosk). 2017;95(2):127-31.","Dontsov AV","Klin Med (Mosk)","2017","2018/10/11","","",""
"30265489","[ЕXPERIMENTAL ESTIMATION OF THE LOCAL APPLICATION EFFICACY OF BIOLOGICAL STIMULATOR FOR THE SOFT TISSUES REPARATION IN TREATMENT OF CHRONIC GASTRIC ULCERS]","Usenko OY, Petrushenko VV, Savolyuk SI, Radyoga YV, Grebenyuk DI.","Klin Khir. 2016;(9):62-5.","Usenko OY","Klin Khir","2016","2018/09/29","","",""
"29927325","Inflammation-associated changes in DOR expression and function in the mouse colon","DiCello JJ, Saito A, Rajasekhar P, Eriksson EM, McQuade RM, Nowell CJ, Sebastian BW, Fichna J, Veldhuis NA, Canals M, Bunnett NW, Carbone SE, Poole DP.","Am J Physiol Gastrointest Liver Physiol. 2018 Oct 1;315(4):G544-G559. doi: 10.1152/ajpgi.00025.2018. Epub 2018 Jun 21.","DiCello JJ","Am J Physiol Gastrointest Liver Physiol","2018","2018/06/22","PMC6230691","","10.1152/ajpgi.00025.2018"
"29795362","Prolonged DADLE exposure epigenetically promotes Bcl-2 expression and elicits neuroprotection in primary rat cortical neurons via the PI3K/Akt/NF-κB pathway","Zhu M, Liu M, Guo QL, Zhu CQ, Guo JC.","Acta Pharmacol Sin. 2018 Oct;39(10):1582-1589. doi: 10.1038/aps.2018.7. Epub 2018 May 24.","Zhu M","Acta Pharmacol Sin","2018","2018/05/26","PMC6289365","","10.1038/aps.2018.7"
"29754753","A Genetically Encoded Biosensor Reveals Location Bias of Opioid Drug Action","Stoeber M, Jullié D, Lobingier BT, Laeremans T, Steyaert J, Schiller PW, Manglik A, von Zastrow M.","Neuron. 2018 Jun 6;98(5):963-976.e5. doi: 10.1016/j.neuron.2018.04.021. Epub 2018 May 10.","Stoeber M","Neuron","2018","2018/05/15","PMC6481295","NIHMS1013218","10.1016/j.neuron.2018.04.021"
