PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"14463221","Oral versus subcutaneous potency of codeine, morphine, levorphan, and anileridine as measured by rabbit toothpulp changes","LEADERS FE, KEASLING HH.","J Pharm Sci. 1962 Jan;51:46-9. doi: 10.1002/jps.2600510107.","LEADERS FE","J Pharm Sci","1962","1962/01/01","","","10.1002/jps.2600510107"
"14342932","THE EFFICACY OF PLACEBO ON PAIN PERCEPTION THRESHOLD","BLAIR AE.","Oral Surg Oral Med Oral Pathol. 1965 Sep;20:384-91. doi: 10.1016/0030-4220(65)90172-6.","BLAIR AE","Oral Surg Oral Med Oral Pathol","1965","1965/09/01","","","10.1016/0030-4220(65)90172-6"
"14321985","A METHOD FOR THE THIN-LAYER CHROMATOGRAPHY OF ANALGESIC DRUGS AND RELATED COMPOUNDS IN NON-AQUEOUS SYSTEMS","EMMERSON JL, ANDERSON RC.","J Chromatogr. 1965 Mar;17:495-500. doi: 10.1016/s0021-9673(00)99900-x.","EMMERSON JL","J Chromatogr","1965","1965/03/01","","","10.1016/s0021-9673(00)99900-x"
"14298360","NEUROLEPTANALGESICS. 2. LABORATORY EVALUATION OF COMBINATION OF ANALGESICS AND NEUROLEPTICS WITH NITROUS OXIDE","DOBKIN AB, LEE PK, BYLES PH.","Can Anaesth Soc J. 1965 Jan;12:39-66. doi: 10.1007/BF03004077.","DOBKIN AB","Can Anaesth Soc J","1965","1965/01/01","","","10.1007/BF03004077"
"14246688","ORAL PREMEDICATION FOR OPERATIONS","JOLLY C.","Lancet. 1965 Jan 2;1(7375):42-4. doi: 10.1016/s0140-6736(65)90944-x.","JOLLY C","Lancet","1965","1965/01/02","","","10.1016/s0140-6736(65)90944-x"
"14185245","FURTHER STUDIES ON THE METABOLISM OF ANILERIDINE","LIN SC, WAY EL.","Proc West Pharmacol Soc. 1964;7:68-9.","LIN SC","Proc West Pharmacol Soc","1964","1964/01/01","","",""
"14165239","THE CLINICAL EVALUATION OF MORPHINE AND ITS SUBSTITUTES AS ANALGESICS","LASAGNA L.","Pharmacol Rev. 1964 Mar;16:47-83.","LASAGNA L","Pharmacol Rev","1964","1964/03/01","","",""
"13857208","COUNCIL classifies anileridine (leritine) in group B","","J Am Dent Assoc. 1960 Apr;60:510-1.","","J Am Dent Assoc","1960","1960/04/01","","",""
"13854994","Anileridine in anaesthesia. A clinical trial","SWERDLOW M, BROWN PR, TETLOW A.","Anaesthesia. 1960 Jul;15:280-8. doi: 10.1111/j.1365-2044.1960.tb13339.x.","SWERDLOW M","Anaesthesia","1960","1960/07/01","","","10.1111/j.1365-2044.1960.tb13339.x"
"13851944","Anileridine as a supplement","HASELHUHN DH, LIPPHARD D.","Anesth Analg. 1960 Jul-Aug;39:345-51.","HASELHUHN DH","Anesth Analg","1960","1960/07/01","","",""
"13836108","A note on the respiratory effects of anileridine","SWERDLOW M.","Br J Anaesth. 1960 Jun;32:273-5. doi: 10.1093/bja/32.6.273.","SWERDLOW M","Br J Anaesth","1960","1960/06/01","","","10.1093/bja/32.6.273"
"13826028","The effect of intravenous injections of meperidine and anileridine on thiopental requirement and recovery time","GALE AS.","Anesth Analg. 1960 Jul-Aug;39:339-44.","GALE AS","Anesth Analg","1960","1960/07/01","","",""
"13819254","[Physical dependence and tolerance in relation to various analgesics in patients suffering from chronic pains; comparison between morphine, oxymorphone and anileridine]","EDDY NB, LEE LE Jr, HARRIS C.","Bull World Health Organ. 1959;20(6):1245-56.","EDDY NB","Bull World Health Organ","1959","1959/01/01","PMC2537892","",""
"13815278","Anileridine (leritine) a new synthetic analgesic in anaesthesia","DECHENE JP, HEBERT C.","Can Anaesth Soc J. 1959 Oct;6:393-9. doi: 10.1007/BF03021288.","DECHENE JP","Can Anaesth Soc J","1959","1959/10/01","","","10.1007/BF03021288"
"13814892","The old and the new: morphine, meperidine, and anileridine","DE MAIO FJ, WILSON WL.","Antibiotic Med Clin Ther (New York). 1960 Jan;7:44-52.","DE MAIO FJ","Antibiotic Med Clin Ther (New York)","1960","1960/01/01","","",""
"13726673","The use of anileridine in labor","MULLA NP.","Ohio State Med J. 1961 Sep;57:1003-4.","MULLA NP","Ohio State Med J","1961","1961/09/01","","",""
"13713205","Effectiveness of anileridine as labor and delivery agent","HELSEL CM, MANN HJ.","Pa Med J. 1960 Dec;63:1790-2.","HELSEL CM","Pa Med J","1960","1960/12/01","","",""
"13711200","Maternal and fetal plasma levels of anileridine during labor","HANEKAMP EH, MAGALETTA GE, LANKFORD HG, HARTNETT LJ.","South Med J. 1961 Mar;54:274-7. doi: 10.1097/00007611-196103000-00010.","HANEKAMP EH","South Med J","1961","1961/03/01","","","10.1097/00007611-196103000-00010"
"13670215","The use of anileridine in labor for the control of pain","WIZENBERG MJ, SIEGEL IA, KORMAN W, ROSENTHAL HN.","Am J Obstet Gynecol. 1959 Aug;78(2):405-10. doi: 10.1016/0002-9378(59)90192-9.","WIZENBERG MJ","Am J Obstet Gynecol","1959","1959/08/01","","","10.1016/0002-9378(59)90192-9"
"13658131","The use of a new narcotic (leritine) in urology","EVANS AT, FARRELL AJ.","Postgrad Semin Am Urol Assoc North Cent. 1958-1959:104-8.","EVANS AT","Postgrad Semin Am Urol Assoc North Cent","1958","1958/01/01","","",""
"13630592","Anileridine as an anesthetic agent","STAGE JT.","Int J Anesth. 1959 Jan;6(1):25-8.","STAGE JT","Int J Anesth","1959","1959/01/01","","",""
"13598652","Anileridine hydrochloride; its clinical use as an analgesic and sedative; preliminary report","THERIEN RC, LEE LW, MALASHOCK EM, DAVIS NB.","J Am Med Assoc. 1958 Dec 20;168(16):2098-100. doi: 10.1001/jama.1958.03000160012004.","THERIEN RC","J Am Med Assoc","1958","1958/12/20","","","10.1001/jama.1958.03000160012004"
"13583587","Anileridine; an evaluation of its use in anesthesia and in postoperative analgesia","RIFFIN I, WHEATON HH, SCHWARZ B, PREISIG R, LANDMAN M.","Anesth Analg. 1958 Jul-Aug;37(4):154-9.","RIFFIN I","Anesth Analg","1958","1958/07/01","","",""
"13539762","Narcotic potency and side effects of anileridine and meperidine in man","CHANG FF, SAFAR P, LASAGNA L.","J Pharmacol Exp Ther. 1958 Mar;122(3):370-8.","CHANG FF","J Pharmacol Exp Ther","1958","1958/03/01","","",""
"13539529","Anileridine analgesia in labor","GROSS SJ, KATOH J, MAECK JV.","J Maine Med Assoc. 1958 May;49(5):174-6.","GROSS SJ","J Maine Med Assoc","1958","1958/05/01","","",""
"13538674","ANILERIDINE phosphate","","J Am Med Assoc. 1958 May 3;167(1):63-4.","","J Am Med Assoc","1958","1958/05/03","","",""
"13538673","ANILERIDINE hydrochloride","","J Am Med Assoc. 1958 May 3;167(1):62-3.","","J Am Med Assoc","1958","1958/05/03","","",""
"13476369","The absorption and metabolism of anileridine: ethyl-1-(4-aminophenethyl)-4-phenylisonipecotate","PORTER CC.","J Pharmacol Exp Ther. 1957 Aug;120(4):447-51.","PORTER CC","J Pharmacol Exp Ther","1957","1957/08/01","","",""
"13467664","A comparison of anileridine, morphine, and meperidine in man","DRIPPS RD, MILLAR RA, KNEALE DH.","Surg Gynecol Obstet. 1957 Sep;105(3):322-6.","DRIPPS RD","Surg Gynecol Obstet","1957","1957/09/01","","",""
"13458864","Studies of analgesic drugs: anileridine dihydrochloride","KEATS AS, TELFORD J, KUROSU Y.","Anesthesiology. 1957 Sep-Oct;18(5):690-7. doi: 10.1097/00000542-195709000-00003.","KEATS AS","Anesthesiology","1957","1957/09/01","","","10.1097/00000542-195709000-00003"
"13449255","Anileridine as an anesthetic agent","STAGE JT.","J Fla Med Assoc. 1957 Aug;44(2):143-5.","STAGE JT","J Fla Med Assoc","1957","1957/08/01","","",""
"13417056","Pharmacology of ethyl-1-(4-aminophenethyl)-4-phenylisonipecotate, anileridine, a new potent synthetic analgesic","ORAHOVATS PD, LEHMAN EG, CHAPIN EW.","J Pharmacol Exp Ther. 1957 Jan;119(1):26-34.","ORAHOVATS PD","J Pharmacol Exp Ther","1957","1957/01/01","","",""
"12171562","Electronic-topological study of the structure-activity relationships in a series of piperidine morphinomimetics","Sim E, Dimoglo A, Shvets N, Ahsen V.","Curr Med Chem. 2002 Aug;9(16):1537-45. doi: 10.2174/0929867023369510.","Sim E","Curr Med Chem","2002","2002/08/13","","","10.2174/0929867023369510"
"7541439","Anileridine-induced delirium","Moss JH.","J Pain Symptom Manage. 1995 May;10(4):318-20. doi: 10.1016/0885-3924(95)00012-N.","Moss JH","J Pain Symptom Manage","1995","1995/05/01","","","10.1016/0885-3924(95)00012-N"
"7518312","Clinical application of nebulized opioids for treatment of dyspnoea in patients with malignant disease","Farncombe M, Chater S.","Support Care Cancer. 1994 May;2(3):184-7. doi: 10.1007/BF00417478.","Farncombe M","Support Care Cancer","1994","1994/05/01","","","10.1007/BF00417478"
"6896552","Radioimmunoassay of N-substituted phenylpiperidine carboxylic acid esters and dealkylated metabolites","Freeman DS, Gjika HB.","Methods Enzymol. 1982;84:516-25. doi: 10.1016/0076-6879(82)84038-x.","Freeman DS","Methods Enzymol","1982","1982/01/01","","","10.1016/0076-6879(82)84038-x"
"6896113","Comparison of haemodynamic effects of pethidine and anileridine in anaesthetised patients","Yrjölä H, Heinonen J, Tuominen M, Heikkilä J.","Acta Anaesthesiol Scand. 1981 Oct;25(5):412-5. doi: 10.1111/j.1399-6576.1981.tb01676.x.","Yrjölä H","Acta Anaesthesiol Scand","1981","1981/10/01","","","10.1111/j.1399-6576.1981.tb01676.x"
"6894270","Contact dermatitis to anileridine","Ecker RI.","Contact Dermatitis. 1980 Dec;6(7):495. doi: 10.1111/j.1600-0536.1980.tb05575.x.","Ecker RI","Contact Dermatitis","1980","1980/12/01","","","10.1111/j.1600-0536.1980.tb05575.x"
"6154139","Opiates and thermoregulation in mice. I. Agonists","Rosow CE, Miller JM, Pelikan EW, Cochin J.","J Pharmacol Exp Ther. 1980 May;213(2):273-83.","Rosow CE","J Pharmacol Exp Ther","1980","1980/05/01","","",""
"6104822","Comparison of morphine, meperidine, anileridine, and alphaprodine on schedule-controlled responding and analgesia","Leander JD.","Pharmacol Biochem Behav. 1980 May;12(5):797-801. doi: 10.1016/0091-3057(80)90168-9.","Leander JD","Pharmacol Biochem Behav","1980","1980/05/01","","","10.1016/0091-3057(80)90168-9"
"3755241","Qualitative differences in effects of opioids in man: preliminary evidence for multiple mechanisms of analgesic action","Abbott FV.","Pharmacol Biochem Behav. 1986 May;24(5):1247-51. doi: 10.1016/0091-3057(86)90179-6.","Abbott FV","Pharmacol Biochem Behav","1986","1986/05/01","","","10.1016/0091-3057(86)90179-6"
"1805523","[Studies on the analysis of anileridine, levorphanol, nalbuphine and ethamivan in urine]","Xu YQ, Fang HJ, Xu YX, Duan HJ, Wu Y.","Yao Xue Xue Bao. 1991;26(8):606-10.","Xu YQ","Yao Xue Xue Bao","1991","1991/01/01","","",""
