PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28274151","Pharmacophore-based design and discovery of (-)-meptazinol carbamates as dual modulators of cholinesterase and amyloidogenesis","Xie Q, Zheng Z, Shao B, Fu W, Xia Z, Li W, Sun J, Zheng W, Zhang W, Sheng W, Zhang Q, Chen H, Wang H, Qiu Z.","J Enzyme Inhib Med Chem. 2017 Dec;32(1):659-671. doi: 10.1080/14756366.2016.1265521.","Xie Q","J Enzyme Inhib Med Chem","2017","2017/03/10","PMC6009976","","10.1080/14756366.2016.1265521"
"26025073","(-)-Meptazinol-melatonin hybrids as novel dual inhibitors of cholinesterases and amyloid-β aggregation with high antioxidant potency for Alzheimer's therapy","Cheng S, Zheng W, Gong P, Zhou Q, Xie Q, Yu L, Zhang P, Chen L, Li J, Chen J, Chen H, Chen H.","Bioorg Med Chem. 2015 Jul 1;23(13):3110-8. doi: 10.1016/j.bmc.2015.04.084. Epub 2015 May 12.","Cheng S","Bioorg Med Chem","2015","2015/05/31","","","10.1016/j.bmc.2015.04.084"
"24861756","Enantioseparation of meptazinol and its three intermediate enantiomers by capillary electrophoresis using a new cationic β-cyclodextrin derivative in single and dual cyclodextrin systems","Yu J, Zhao Y, Song J, Guo X.","Biomed Chromatogr. 2014 Jun;28(6):868-74. doi: 10.1002/bmc.3187.","Yu J","Biomed Chromatogr","2014","2014/05/28","","","10.1002/bmc.3187"
"24756818","Determination of Meserine, a new candidate for Alzheimer's disease in mice brain by liquid chromatography-tandem mass spectrometry and its application to a pharmacokinetic and tissue distribution study","Zheng Z, Tang Y, Lv H, Xu J, Zhao H, Xie Q, Qiu Z, Chen H, Wang H.","Anal Bioanal Chem. 2014 May;406(14):3451-8. doi: 10.1007/s00216-014-7779-7. Epub 2014 Apr 23.","Zheng Z","Anal Bioanal Chem","2014","2014/04/24","","","10.1007/s00216-014-7779-7"
"24747147","Determination of a novel carbamate AChE inhibitor meserine in mouse plasma, brain and rat plasma by LC-MS/MS: application to pharmacokinetic study after intravenous and subcutaneous administration","Xie Y, Jiang P, Ge X, Wang H, Shao B, Xie Q, Qiu Z, Chen H.","J Pharm Biomed Anal. 2014 Aug 5;96:156-61. doi: 10.1016/j.jpba.2014.03.025. Epub 2014 Mar 26.","Xie Y","J Pharm Biomed Anal","2014","2014/04/22","","","10.1016/j.jpba.2014.03.025"
"24279603","Meserine, a novel carbamate AChE inhibitor, ameliorates scopolamine-induced dementia and alleviates amyloidogenesis of APP/PS1 transgenic mice","Shao BY, Xia Z, Xie Q, Ge XX, Zhang WW, Sun J, Jiang P, Wang H, Le WD, Qiu ZB, Lu Y, Chen HZ.","CNS Neurosci Ther. 2014 Feb;20(2):165-71. doi: 10.1111/cns.12183. Epub 2013 Nov 27.","Shao BY","CNS Neurosci Ther","2014","2013/11/28","PMC6493081","","10.1111/cns.12183"
"23893795","Enantiomeric separation of meptazinol and its three intermediate enantiomers by capillary electrophoresis: quantitative analysis of meptazinol in pharmaceutical formulations","Yu J, Jiang Z, Sun T, Ji F, Xu S, Wei L, Guo X.","Biomed Chromatogr. 2014 Jan;28(1):135-41. doi: 10.1002/bmc.2997. Epub 2013 Jul 25.","Yu J","Biomed Chromatogr","2014","2013/07/30","","","10.1002/bmc.2997"
"23262302","Bis(9)-(-)-nor-meptazinol as a novel dual-binding AChEI potently ameliorates scopolamine-induced cognitive deficits in mice","Liu T, Xia Z, Zhang WW, Xu JR, Ge XX, Li J, Cui Y, Qiu ZB, Xu J, Xie Q, Wang H, Chen HZ.","Pharmacol Biochem Behav. 2013 Mar;104:138-43. doi: 10.1016/j.pbb.2012.11.009. Epub 2012 Dec 19.","Liu T","Pharmacol Biochem Behav","2013","2012/12/25","","","10.1016/j.pbb.2012.11.009"
"22842334","Novel bis-(-)-nor-meptazinol derivatives act as dual binding site AChE inhibitors with metal-complexing property","Zheng W, Li J, Qiu Z, Xia Z, Li W, Yu L, Chen H, Chen J, Chen Y, Hu Z, Zhou W, Shao B, Cui Y, Xie Q, Chen H.","Toxicol Appl Pharmacol. 2012 Oct 1;264(1):65-72. doi: 10.1016/j.taap.2012.07.018. Epub 2012 Jul 25.","Zheng W","Toxicol Appl Pharmacol","2012","2012/07/31","","","10.1016/j.taap.2012.07.018"
"22290756","Meptazinol and ethanol: a fatal intoxication","Maskell PD, De Paoli G, Seetohul LN, Pounder DJ.","J Anal Toxicol. 2012 Jan-Feb;36(1):69-73. doi: 10.1093/jat/bkr005.","Maskell PD","J Anal Toxicol","2012","2012/02/01","","","10.1093/jat/bkr005"
"22204875","Determination of Bis(9)-(-)-Meptazinol, a bis-ligand for Alzheimer's disease, in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetics study","Ge XX, Wang XL, Jiang P, Xie Y, Jiang T, Rong ZX, Zhang QZ, Xie Q, Qiu ZB, Wang H, Chen HZ.","J Chromatogr B Analyt Technol Biomed Life Sci. 2012 Jan 15;881-882:126-30. doi: 10.1016/j.jchromb.2011.12.010. Epub 2011 Dec 16.","Ge XX","J Chromatogr B Analyt Technol Biomed Life Sci","2012","2011/12/30","","","10.1016/j.jchromb.2011.12.010"
"21918824","[Obstetric analgesia in German clinics. Remifentanil as alternative to regional analgesia]","Schnabel A, Hahn N, Muellenbach R, Frambach T, Hoenig A, Roewer N, Kranke P.","Anaesthesist. 2011 Nov;60(11):995-1001. doi: 10.1007/s00101-011-1933-9. Epub 2011 Sep 16.","Schnabel A","Anaesthesist","2011","2011/09/16","","","10.1007/s00101-011-1933-9"
"19819764","Liquid chromatography/positive ion electrospray tandem mass spectrometry method for the quantification of hydrochloride meptazinol in human plasma: application to a pharmacokinetic study","Qiao J, Tan Z, Li W, Huang L, Ge M.","J Chromatogr B Analyt Technol Biomed Life Sci. 2009 Nov 15;877(30):3787-91. doi: 10.1016/j.jchromb.2009.08.051. Epub 2009 Sep 6.","Qiao J","J Chromatogr B Analyt Technol Biomed Life Sci","2009","2009/10/13","","","10.1016/j.jchromb.2009.08.051"
"19326912","The crystal structure of a complex of acetylcholinesterase with a bis-(-)-nor-meptazinol derivative reveals disruption of the catalytic triad","Paz A, Xie Q, Greenblatt HM, Fu W, Tang Y, Silman I, Qiu Z, Sussman JL.","J Med Chem. 2009 Apr 23;52(8):2543-9. doi: 10.1021/jm801657v.","Paz A","J Med Chem","2009","2009/03/31","","","10.1021/jm801657v"
"18333606","Bis-(-)-nor-meptazinols as novel nanomolar cholinesterase inhibitors with high inhibitory potency on amyloid-beta aggregation","Xie Q, Wang H, Xia Z, Lu M, Zhang W, Wang X, Fu W, Tang Y, Sheng W, Li W, Zhou W, Zhu X, Qiu Z, Chen H.","J Med Chem. 2008 Apr 10;51(7):2027-36. doi: 10.1021/jm070154q. Epub 2008 Mar 12.","Xie Q","J Med Chem","2008","2008/03/13","","","10.1021/jm070154q"
"16923347","Conformational re-analysis of (+)-meptazinol: an opioid with mixed analgesic pharmacophores","Li W, Wang XH, Lau CW, Tang Y, Xie Q, Qiu ZB.","Acta Pharmacol Sin. 2006 Sep;27(9):1247-52. doi: 10.1111/j.1745-7254.2006.00375.x.","Li W","Acta Pharmacol Sin","2006","2006/08/23","","","10.1111/j.1745-7254.2006.00375.x"
"16834791","Reflex activity caused by laryngoscopy and intubation is obtunded differently by meptazinol, nalbuphine and fentanyl","Freye E, Levy JV.","Eur J Anaesthesiol. 2007 Jan;24(1):53-8. doi: 10.1017/S0265021506001086. Epub 2006 Jul 11.","Freye E","Eur J Anaesthesiol","2007","2006/07/13","","","10.1017/S0265021506001086"
"16404617","Investigation of the binding mode of (-)-meptazinol and bis-meptazinol derivatives on acetylcholinesterase using a molecular docking method","Xie Q, Tang Y, Li W, Wang XH, Qiu ZB.","J Mol Model. 2006 Mar;12(4):390-7. doi: 10.1007/s00894-005-0058-y. Epub 2006 Jan 11.","Xie Q","J Mol Model","2006","2006/01/13","","","10.1007/s00894-005-0058-y"
"16268513","Enhancement of systemic and CNS delivery of meptazinol hydrochloride by intranasal administration to rats","Shi ZQ, Zhang QZ, Jiang XG.","Yao Xue Xue Bao. 2005 Aug;40(8):754-7.","Shi ZQ","Yao Xue Xue Bao","2005","2005/11/05","","",""
"16154745","Design, synthesis, and bioavailability evaluation of coumarin-based prodrug of meptazinol","Xie Q, Wang X, Wang X, Jiang Z, Qiu Z.","Bioorg Med Chem Lett. 2005 Nov 15;15(22):4953-6. doi: 10.1016/j.bmcl.2005.08.016.","Xie Q","Bioorg Med Chem Lett","2005","2005/09/13","","","10.1016/j.bmcl.2005.08.016"
"15993428","Pharmacokinetic behavior in plasma, cerebrospinal fluid and cerebral cortex after intranasal administration of hydrochloride meptazinol","Shi Z, Zhang Q, Jiang X.","Life Sci. 2005 Sep 30;77(20):2574-83. doi: 10.1016/j.lfs.2005.02.025.","Shi Z","Life Sci","2005","2005/07/05","","","10.1016/j.lfs.2005.02.025"
"15863326","Synthesis and relative bioavailability of meptazinol benzoyl esters as prodrugs","Lu M, Zhang C, Hao J, Qiu Z.","Bioorg Med Chem Lett. 2005 May 16;15(10):2607-9. doi: 10.1016/j.bmcl.2005.03.039.","Lu M","Bioorg Med Chem Lett","2005","2005/05/03","","","10.1016/j.bmcl.2005.03.039"
"15715930","Structural comparisons of meptazinol with opioid analgesics","Li W, Hao JL, Tang Y, Chen Y, Qiu ZB.","Acta Pharmacol Sin. 2005 Mar;26(3):334-8. doi: 10.1111/j.1745-7254.2005.00045.x.","Li W","Acta Pharmacol Sin","2005","2005/02/18","","","10.1111/j.1745-7254.2005.00045.x"
