PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32131946","[Efficacy of Oxycodone Hydrochloride for Patient-controlled Intravenous Analgesia after General Surgery]","Wang WJ, Ren LY, Gong YH, Huang YG.","Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2020 Feb 28;42(1):91-95. doi: 10.3881/j.issn.1000-503X.11141.","Wang WJ","Zhongguo Yi Xue Ke Xue Yuan Xue Bao","2020","2020/03/06","","","10.3881/j.issn.1000-503X.11141"
"32028411","Oxycodone preemptive analgesia after endoscopic plasma total adenotonsillectomy in children: A randomized controlled trial","Wu J, Gui Q, Wang J, Ye J, Xia Z, Wang S, Liu F, Kong F, Zhong L.","Medicine (Baltimore). 2020 Feb;99(6):e19004. doi: 10.1097/MD.0000000000019004.","Wu J","Medicine (Baltimore)","2020","2020/02/07","PMC7015576","","10.1097/MD.0000000000019004"
"31876726","Quadratus lumborum block versus transversus abdominis plane block for postoperative pain management after laparoscopic colorectal surgery: A randomized controlled trial","Deng W, Long X, Li M, Li C, Guo L, Xu G, Yu S.","Medicine (Baltimore). 2019 Dec;98(52):e18448. doi: 10.1097/MD.0000000000018448.","Deng W","Medicine (Baltimore)","2019","2019/12/27","PMC6946210","","10.1097/MD.0000000000018448"
"31755291","Epidural analgesia with sufentanil in relation to OPRM1 and ABCB1 polymorphisms","Bartošová O, Polanecký O, Šachl R, Štenglová Netíková I, Perlík F, Adámek S, Lischke R, Slanař O.","Physiol Res. 2019 Nov 22;68(Suppl 1):S59-S64. doi: 10.33549/physiolres.934325.","Bartošová O","Physiol Res","2019","2019/11/23","","","10.33549/physiolres.934325"
"31673234","Comparison of the Analgesic Effect of Sufentanil versus Fentanyl in Intravenous Patient-Controlled Analgesia after Total Laparoscopic Hysterectomy: A Randomized, Double-blind, Prospective Study","Oh SK, Lee IO, Lim BG, Jeong H, Kim YS, Ji SG, Park JS.","Int J Med Sci. 2019 Sep 20;16(11):1439-1446. doi: 10.7150/ijms.34656. eCollection 2019.","Oh SK","Int J Med Sci","2019","2019/11/02","PMC6818204","","10.7150/ijms.34656"
"31663357","The influence of anesthesia on intraoperative neurophysiological monitoring during spinal surgeries","Benuska J, Plisova M, Zabka M, Horvath J, Tisovsky P, Novorolsky K.","Bratisl Lek Listy. 2019;120(10):794-801. doi: 10.4149/BLL_2019_133.","Benuska J","Bratisl Lek Listy","2019","2019/10/31","","","10.4149/BLL_2019_133"
"31631641","Sublingual sufentanil nanotab patient-controlled analgesia system/15 mcg in a multimodal analgesic regimen after vertebral surgery: a case-series analysis","Vergari A, Di Muro M, De Angelis A, Nestorini R, Meluzio MC, Frassanito L, Tamburrelli FC, Rossi M.","J Biol Regul Homeost Agents. 2019 Sep-Oct;33(5):1615-1621. doi: 10.23812/19-81-L.","Vergari A","J Biol Regul Homeost Agents","2019","2019/10/22","","","10.23812/19-81-L"
"31612398","Evaluation of Ultrasound-guided Genitofemoral Nerve Block Combined with Ilioinguinal/iliohypogastric Nerve Block during Inguinal Hernia Repair in the Elderly","Huang Z, Xia W, Peng XH, Ke JY, Wang W.","Curr Med Sci. 2019 Oct;39(5):794-799. doi: 10.1007/s11596-019-2107-2. Epub 2019 Oct 14.","Huang Z","Curr Med Sci","2019","2019/10/16","","","10.1007/s11596-019-2107-2"
"31594375","Effects of dexmedetomidine on post-operative recovery and mental status in patients receiving robotic-assisted thoracic surgery","Zhang LY, Zhang YH, Shen J, Luo Y.","Ann Palliat Med. 2019 Sep;8(4):469-475. doi: 10.21037/apm.2019.08.09.","Zhang LY","Ann Palliat Med","2019","2019/10/10","","","10.21037/apm.2019.08.09"
"31593122","Effect of different carbon dioxide (CO2) insufflation for laparoscopic colorectal surgery in elderly patients: A randomized controlled trial","Jiang R, Sun Y, Wang H, Liang M, Xie X.","Medicine (Baltimore). 2019 Oct;98(41):e17520. doi: 10.1097/MD.0000000000017520.","Jiang R","Medicine (Baltimore)","2019","2019/10/09","PMC6799792","","10.1097/MD.0000000000017520"
"31567764","A Small Dose of Butorphanol Prevents Sufentanil-induced Cough During General Anesthesia Induction","Yin F, Zhang T.","J Craniofac Surg. 2019 Nov-Dec;30(8):2499-2501. doi: 10.1097/SCS.0000000000005967.","Yin F","J Craniofac Surg","2019","2019/10/01","","","10.1097/SCS.0000000000005967"
"31532148","Establishment and Its Application of UPLC-MS/MS Method for 20 Fentanyl-related Substances in Blood","Shi Y, Qiang HS, Liu W, Xiang P, Shen BH, Shen M.","Fa Yi Xue Za Zhi. 2019 Aug;35(4):411-418. doi: 10.12116/j.issn.1004-5619.2019.04.006. Epub 2019 Aug 25.","Shi Y","Fa Yi Xue Za Zhi","2019","2019/09/19","","","10.12116/j.issn.1004-5619.2019.04.006"
"31502323","Dexmedetomidine versus sufentanil with high- or low-concentration ropivacaine for labor epidural analgesia: A randomized trial","Cheng Q, Bi X, Zhang W, Lu Y, Tian H.","J Obstet Gynaecol Res. 2019 Nov;45(11):2193-2201. doi: 10.1111/jog.14104. Epub 2019 Sep 9.","Cheng Q","J Obstet Gynaecol Res","2019","2019/09/11","","","10.1111/jog.14104"
"31464960","Effects of dexmedetomidine vs sufentanil during percutaneous tracheostomy for traumatic brain injury patients: A prospective randomized controlled trial","Gao J, Wei L, Xu G, Ren C, Zhang Z, Liu Y.","Medicine (Baltimore). 2019 Aug;98(35):e17012. doi: 10.1097/MD.0000000000017012.","Gao J","Medicine (Baltimore)","2019","2019/08/30","PMC6736089","","10.1097/MD.0000000000017012"
