PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31686778","Effect of hepatic and renal impairment on the pharmacokinetics of olanzapine and samidorphan given in combination as a bilayer tablet","Sun L, Yagoda S, Du Y, von Moltke L.","Drug Des Devel Ther. 2019 Aug 22;13:2941-2955. doi: 10.2147/DDDT.S205000. eCollection 2019.","Sun L","Drug Des Devel Ther","2019","2019/11/06","PMC6709789","","10.2147/DDDT.S205000"
"31463821","Characterization of the Pharmacokinetics of Samidorphan in Healthy Volunteers: Absolute Bioavailability and the Effect of Food and Age","Kumar V, Lu H, Hard M, von Moltke L.","Drugs R D. 2019 Sep;19(3):277-287. doi: 10.1007/s40268-019-00280-5.","Kumar V","Drugs R D","2019","2019/08/30","PMC6738372","","10.1007/s40268-019-00280-5"
"30888624","A Phase I Open-Label Study to Evaluate the Effects of Rifampin on the Pharmacokinetics of Olanzapine and Samidorphan Administered in Combination in Healthy Human Subjects","Sun L, McDonnell D, Yu M, Kumar V, von Moltke L.","Clin Drug Investig. 2019 May;39(5):477-484. doi: 10.1007/s40261-019-00775-8.","Sun L","Clin Drug Investig","2019","2019/03/20","","","10.1007/s40261-019-00775-8"
"30845818","Mitigation of Olanzapine-Induced Weight Gain With Samidorphan, an Opioid Antagonist: A Randomized Double-Blind Phase 2 Study in Patients With Schizophrenia","Martin WF, Correll CU, Weiden PJ, Jiang Y, Pathak S, DiPetrillo L, Silverman BL, Ehrich EW.","Am J Psychiatry. 2019 Jun 1;176(6):457-467. doi: 10.1176/appi.ajp.2018.18030280. Epub 2019 Mar 8.","Martin WF","Am J Psychiatry","2019","2019/03/09","","","10.1176/appi.ajp.2018.18030280"
"30553825","Locomotor and anti-immobility effects of buprenorphine in combination with the opioid receptor modulator samidorphan in rats","Burke NN, Ferdousi M, Deaver DR, Finn DP, Roche M, Kelly JP.","Neuropharmacology. 2019 Mar 1;146:327-336. doi: 10.1016/j.neuropharm.2018.12.012. Epub 2018 Dec 13.","Burke NN","Neuropharmacology","2019","2018/12/17","","","10.1016/j.neuropharm.2018.12.012"
"30448421","Opioid system modulators buprenorphine and samidorphan alter behavior and extracellular neurotransmitter concentrations in the Wistar Kyoto rat","Smith KL, Cunningham JI, Eyerman DJ, Dean RL 3rd, Deaver DR, Sanchez C.","Neuropharmacology. 2019 Mar 1;146:316-326. doi: 10.1016/j.neuropharm.2018.11.015. Epub 2018 Nov 15.","Smith KL","Neuropharmacology","2019","2018/11/19","","","10.1016/j.neuropharm.2018.11.015"
"30348514","Pharmacokinetics and Short-term Safety of ALKS 3831, a Fixed-dose Combination of Olanzapine and Samidorphan, in Adult Subjects with Schizophrenia","Sun L, McDonnell D, von Moltke L.","Clin Ther. 2018 Nov;40(11):1845-1854.e2. doi: 10.1016/j.clinthera.2018.09.002. Epub 2018 Oct 20.","Sun L","Clin Ther","2018","2018/10/24","","","10.1016/j.clinthera.2018.09.002"
"30188587","Evaluation of samidorphan, a μ-opioid antagonist, in a drug discrimination assay in rats","Sgro MP, Modlin DL, Deaver DR, Kallman MJ, Todtenkopf MS.","Drug Dev Res. 2018 Aug;79(5):234-238. doi: 10.1002/ddr.21437.","Sgro MP","Drug Dev Res","2018","2018/09/07","","","10.1002/ddr.21437"
"30108159","In Vitro Pharmacological Characterization of Buprenorphine, Samidorphan, and Combinations Being Developed as an Adjunctive Treatment of Major Depressive Disorder","Bidlack JM, Knapp BI, Deaver DR, Plotnikava M, Arnelle D, Wonsey AM, Fern Toh M, Pin SS, Namchuk MN.","J Pharmacol Exp Ther. 2018 Nov;367(2):267-281. doi: 10.1124/jpet.118.249839. Epub 2018 Aug 14.","Bidlack JM","J Pharmacol Exp Ther","2018","2018/08/16","","","10.1124/jpet.118.249839"
"30055046","Effects of the Opioid System Modulator, Samidorphan, on Measures of Alcohol Consumption and Patient-Reported Outcomes in Adults with Alcohol Dependence","O'Malley SS, Todtenkopf MS, Du Y, Ehrich E, Silverman BL.","Alcohol Clin Exp Res. 2018 Oct;42(10):2011-2021. doi: 10.1111/acer.13849. Epub 2018 Aug 13.","O'Malley SS","Alcohol Clin Exp Res","2018","2018/07/29","","","10.1111/acer.13849"
