PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31738920","A Patient with Metastatic Lung Cancer and Dysphagia","Biechele J, Fox M.","Gastroenterology. 2020 Feb;158(3):485-487. doi: 10.1053/j.gastro.2019.10.047. Epub 2019 Nov 15.","Biechele J","Gastroenterology","2020","2019/11/19","","","10.1053/j.gastro.2019.10.047"
"31567191","Response to Luthra et al","Brenner DM, Hu Y, Datto C, Creanga D, Camilleri M.","Am J Gastroenterol. 2019 Oct;114(10):1695. doi: 10.14309/ajg.0000000000000402.","Brenner DM","Am J Gastroenterol","2019","2019/10/01","","","10.14309/ajg.0000000000000402"
"31211704","Relative Efficacy of Naloxegol and Polyethylene Glycol 3350 in Opioid-Induced Constipation","Luthra P, Burr NE, Ford AC.","Am J Gastroenterol. 2019 Oct;114(10):1694. doi: 10.14309/ajg.0000000000000308.","Luthra P","Am J Gastroenterol","2019","2019/06/19","","","10.14309/ajg.0000000000000308"
"31201151","Naloxegol for opioid-induced sphincter of Oddi spasm/dysfunction","Davies AN, Leach C.","BMJ Support Palliat Care. 2019 Dec;9(4):365-366. doi: 10.1136/bmjspcare-2019-001808. Epub 2019 Jun 14.","Davies AN","BMJ Support Palliat Care","2019","2019/06/16","","","10.1136/bmjspcare-2019-001808"
"31124873","Naloxegol: A Review of Clinical Trials and Applications to Practice","Dume R, Shuman M.","Orthop Nurs. 2019 May/Jun;38(3):209-211. doi: 10.1097/NOR.0000000000000558.","Dume R","Orthop Nurs","2019","2019/05/25","","","10.1097/NOR.0000000000000558"
"31058652","A Randomized, Multicenter, Prospective, Crossover, Open-Label Study of Factors Associated With Patient Preferences for Naloxegol or PEG 3350 for Opioid-Induced Constipation","Brenner DM, Hu Y, Datto C, Creanga D, Camilleri M.","Am J Gastroenterol. 2019 Jun;114(6):954-963. doi: 10.14309/ajg.0000000000000229.","Brenner DM","Am J Gastroenterol","2019","2019/05/07","PMC6553549","","10.14309/ajg.0000000000000229"
"30968858","[Opioid-induced constipation in oncologic patient: a clinical case treated with naloxegol]","Gallo P.","Recenti Prog Med. 2019 Mar;110(3):6e-9e. doi: 10.1701/3132.31184.","Gallo P","Recenti Prog Med","2019","2019/04/11","","","10.1701/3132.31184"
"30890414","Consumption of Movantik™ (Naloxegol) results in detection of naloxone in the patient's urine evaluated by confirmatory urine drug testing","Haidari M, Mansani S, Ponds D, Romero L, Alsaab S.","Clin Biochem. 2019 May;67:48-53. doi: 10.1016/j.clinbiochem.2019.03.006. Epub 2019 Mar 16.","Haidari M","Clin Biochem","2019","2019/03/21","","","10.1016/j.clinbiochem.2019.03.006"
"30565581","[Treatment of persistent opioid-induced constipation in patients with hematological malignancies: case report]","","Recenti Prog Med. 2018 Nov;109(11):11e-14e. doi: 10.1701/3031.30300.","","Recenti Prog Med","2018","2018/12/20","","","10.1701/3031.30300"
"30189347","Opioid receptors in the GI tract: targets for treatment of both diarrhea and constipation in functional bowel disorders?","Pannemans J, Corsetti M.","Curr Opin Pharmacol. 2018 Dec;43:53-58. doi: 10.1016/j.coph.2018.08.008. Epub 2018 Sep 3.","Pannemans J","Curr Opin Pharmacol","2018","2018/09/07","","","10.1016/j.coph.2018.08.008"
"30044486","Efficacy and safety of naloxegol for opioid-induced constipation assessed by specific opioid medication, opioid dose, and duration of opioid use","Nalamachu S, Gudin J, Datto C, Coyne K, Poon JL, Hu Y.","J Opioid Manag. 2018 May/Jun;14(3):211-221. doi: 10.5055/jom.2018.0451.","Nalamachu S","J Opioid Manag","2018","2018/07/26","","","10.5055/jom.2018.0451"
