PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31926533","EVALUATION OF THE QUALITY OF IMMOBILIZATION AND CARDIORESPIRATORY EFFECTS OF ETORPHINE-MEDETOMIDINE-AZAPERONE COMBINATION IN PLAINS ZEBRAS (EQUUS QUAGGA): A PILOT STUDY","Gaudio E, Hoffman LC, Schabort GA, Shepstone CA, Bauer G, De Benedictis GM.","J Zoo Wildl Med. 2020 Jan 9;50(4):988-992. doi: 10.1638/2018-0157.","Gaudio E","J Zoo Wildl Med","2020","2020/01/13","","","10.1638/2018-0157"
"31651529","Analgesic and Respiratory Depressant Effects of R-dihydroetorphine: A Pharmacokinetic-Pharmacodynamic Analysis in Healthy Male Volunteers","Olofsen E, Boom M, Sarton E, van Velzen M, Baily P, Smith KJ, Oksche A, Dahan A, Niesters M.","Anesthesiology. 2019 Dec;131(6):1327-1339. doi: 10.1097/ALN.0000000000002991.","Olofsen E","Anesthesiology","2019","2019/10/26","","","10.1097/ALN.0000000000002991"
"31521514","Dose-effect study of the serotonin agonist R-8-OH-DPAT on opioid-induced respiratory depression in blesbok (Damaliscus pygargus philipsi) and impala (Aepyceros melampus)","Pfitzer S, Laubscher L, Meyer L, Warren K, Vaughan-Higgins R, Raath JP, Laurence M.","Vet Anaesth Analg. 2019 Nov;46(6):796-806. doi: 10.1016/j.vaa.2019.06.006. Epub 2019 Jul 6.","Pfitzer S","Vet Anaesth Analg","2019","2019/09/16","","","10.1016/j.vaa.2019.06.006"
"31176572","Compared to etorphine-azaperone, the ketamine-butorphanol-medetomidine combination is also effective at immobilizing zebra (Equus zebra)","Stemmet GP, Meyer LC, Bruns A, Buss P, Zimmerman D, Koeppel K, Zeiler GE.","Vet Anaesth Analg. 2019 Jul;46(4):466-475. doi: 10.1016/j.vaa.2019.01.008. Epub 2019 Feb 11.","Stemmet GP","Vet Anaesth Analg","2019","2019/06/10","","","10.1016/j.vaa.2019.01.008"
"30693492","Chemical capture of wild swamp buffalo (Bubalus bubalis) in tropical northern Australia using thiafentanil, etorphine and azaperone combinations","Bryant B, Pittard S, Jordan NR, McMahon CR.","Aust Vet J. 2019 Jan;97(1-2):33-38. doi: 10.1111/avj.12782.","Bryant B","Aust Vet J","2019","2019/01/30","","","10.1111/avj.12782"
"30592926","REPEATED ANESTHESIA IN A BLACK RHINOCEROS ( DICEROS BICORNIS) TO MANAGE UPPER RESPIRATORY OBSTRUCTION","Mora IM, Langan JN, Bailey RS, Aitken-Palmer C, Adkesson MJ, Tang KN, Chinnadurai CK.","J Zoo Wildl Med. 2018 Dec 13;49(4):1041-1046. doi: 10.1638/2018-0095.1.","Mora IM","J Zoo Wildl Med","2018","2018/12/29","","","10.1638/2018-0095.1"
"30592918","IMMOBILIZING MUSKOX ( OVIBOS MOSCHATUS) UNDER HIGH ARCTIC CONDITIONS","Grøndahl C, Andersen-Ranberg EU, Mosbacher JB, Stelvig M, Hansen LH, Schmidt NM.","J Zoo Wildl Med. 2018 Dec 13;49(4):856-862. doi: 10.1638/2016-0290.1.","Grøndahl C","J Zoo Wildl Med","2018","2018/12/29","","","10.1638/2016-0290.1"
"30592907","EFFECTS OF A SUPPLEMENTAL ETORPHINE DOSE ON PULMONARY ARTERY PRESSURE AND CARDIAC OUTPUT IN IMMOBILIZED, BOMA-HABITUATED WHITE RHINOCEROS ( CERATOTHERIUM SIMUM): A PRELIMINARY STUDY","Boesch JM, Gleed RD, Buss P, Hofmeyr M, Tordiffe A, Zeiler G, Meyer L.","J Zoo Wildl Med. 2018 Dec 13;49(4):849-855. doi: 10.1638/2017-0120.1.","Boesch JM","J Zoo Wildl Med","2018","2018/12/29","","","10.1638/2017-0120.1"
"30308436","Role of rare earth elements in methanol oxidation","Picone N, Op den Camp HJ.","Curr Opin Chem Biol. 2019 Apr;49:39-44. doi: 10.1016/j.cbpa.2018.09.019. Epub 2018 Oct 8.","Picone N","Curr Opin Chem Biol","2019","2018/10/12","","","10.1016/j.cbpa.2018.09.019"
"30232543","Ameliorating the adverse cardiorespiratory effects of chemical immobilization by inducing general anaesthesia in sheep and goats: implications for physiological studies of large wild mammals","Izwan A, Snelling EP, Seymour RS, Meyer LCR, Fuller A, Haw A, Mitchell D, Farrell AP, Costello MA, Maloney SK.","J Comp Physiol B. 2018 Nov;188(6):991-1003. doi: 10.1007/s00360-018-1184-z. Epub 2018 Sep 19.","Izwan A","J Comp Physiol B","2018","2018/09/21","","","10.1007/s00360-018-1184-z"
