PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30362203","Safety and efficacy of a combination of pethidine and levallorphan for pain relief during labor: An observational study","Kinugasa M, Miyake M, Tamai H, Tamura M.","J Obstet Gynaecol Res. 2019 Feb;45(2):337-344. doi: 10.1111/jog.13850. Epub 2018 Oct 25.","Kinugasa M","J Obstet Gynaecol Res","2019","2018/10/27","","","10.1111/jog.13850"
"19797609","Exploration of catalytic properties of CYP2D6 and CYP3A4 through metabolic studies of levorphanol and levallorphan","Bonn B, Masimirembwa CM, Castagnoli N Jr.","Drug Metab Dispos. 2010 Jan;38(1):187-99. doi: 10.1124/dmd.109.028670.","Bonn B","Drug Metab Dispos","2010","2009/10/03","","","10.1124/dmd.109.028670"
"15189760","Sigma-2 receptors are specifically localized to lipid rafts in rat liver membranes","Gebreselassie D, Bowen WD.","Eur J Pharmacol. 2004 Jun 16;493(1-3):19-28. doi: 10.1016/j.ejphar.2004.04.005.","Gebreselassie D","Eur J Pharmacol","2004","2004/06/11","","","10.1016/j.ejphar.2004.04.005"
"14494635","Experience with intravenous demerol with lorfan for analgesia and anesthesia in obstetrics","ROWE DH, FEALY J.","J Fla Med Assoc. 1962 Jan;48:635-9.","ROWE DH","J Fla Med Assoc","1962","1962/01/01","","",""
"14442081","Morphine-levallorphan-atropine premedication in caesarean section","SAVOLAINEN VP, SOIVA K.","Gynaecologia. 1959 Jul;148:37-47. doi: 10.1159/000306334.","SAVOLAINEN VP","Gynaecologia","1959","1959/07/01","","","10.1159/000306334"
"14432989","[Studies on the effect of an opiate antagonist (lorfan) on the action of morphine during chronic administration in man]","PILLER M, LASZLO D.","Schweiz Med Wochenschr. 1960 May 7;90:518-22.","PILLER M","Schweiz Med Wochenschr","1960","1960/05/07","","",""
"14422161","Antagonism of pethidine by levallorphan in rats","MASSON AH, STEPHENSON RP.","Anaesthesia. 1959 Oct;14:345-8. doi: 10.1111/j.1365-2044.1959.tb02454.x.","MASSON AH","Anaesthesia","1959","1959/10/01","","","10.1111/j.1365-2044.1959.tb02454.x"
"14409554","The influence of morphine and pethidine in combination with levallorphan on biliary duct pressure after cholecystectomy","KJELLGREN KK.","Br J Anaesth. 1960 Jan;32:2-6.","KJELLGREN KK","Br J Anaesth","1960","1960/01/01","","",""
"14403310","[The influence of the opiate antagonist levallorphan (lorfan) on the respiratory-depressant and analgesic action of pethidine]","HOSSLI G, BERGMANN G.","Schweiz Med Wochenschr. 1959 Aug 15;89:863-7.","HOSSLI G","Schweiz Med Wochenschr","1959","1959/08/15","","",""
"14368499","The effect of levallorphan tartrate, nalorphine HCl and WIN 7681 (1-allyl-4-phenyl-4-carbethoxypiperidine) on respiratory depression and analgesia induced by some active analgetics","COSTA PJ, BONNYCASTLE DD.","J Pharmacol Exp Ther. 1955 Mar;113(3):310-8.","COSTA PJ","J Pharmacol Exp Ther","1955","1955/03/01","","",""
