PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28317188","Occupational opiate contact dermatitis","Colomb S, Bourrain JL, Bonardel N, Chiriac A, Demoly P.","Contact Dermatitis. 2017 Apr;76(4):240-241. doi: 10.1111/cod.12666.","Colomb S","Contact Dermatitis","2017","2017/03/21","","","10.1111/cod.12666"
"27404326","Can routine information from electronic patient records predict a future diagnosis of alcohol use disorder?","Lid TG, Eide GE, Dalen I, Meland E.","Scand J Prim Health Care. 2016 Sep;34(3):215-23. doi: 10.1080/02813432.2016.1207138. Epub 2016 Jul 12.","Lid TG","Scand J Prim Health Care","2016","2016/07/13","PMC5036010","","10.1080/02813432.2016.1207138"
"25036525","Insights into hydrate formation and stability of morphinanes from a combination of experimental and computational approaches","Braun DE, Gelbrich T, Kahlenberg V, Griesser UJ.","Version 2. Mol Pharm. 2014 Sep 2;11(9):3145-63. doi: 10.1021/mp500334z. Epub 2014 Aug 1.","Braun DE","Mol Pharm","2014","2014/07/19","PMC4685752","EMS66386","10.1021/mp500334z"
"23719288","Discovery of novel series of 6-benzyl substituted 4-aminocarbonyl-1,4-diazepane-2,5-diones as human chymase inhibitors using structure-based drug design","Tanaka T, Sugawara H, Maruoka H, Imajo S, Muto T.","Bioorg Med Chem. 2013 Jul 15;21(14):4233-49. doi: 10.1016/j.bmc.2013.04.079. Epub 2013 May 9.","Tanaka T","Bioorg Med Chem","2013","2013/05/31","","","10.1016/j.bmc.2013.04.079"
"21619723","Drug screening of whole blood by ultra-performance liquid chromatography-tandem mass spectrometry","Oiestad EL, Johansen U, Oiestad AM, Christophersen AS.","J Anal Toxicol. 2011 Jun;35(5):280-93. doi: 10.1093/anatox/35.5.280.","Oiestad EL","J Anal Toxicol","2011","2011/05/31","","","10.1093/anatox/35.5.280"
"21601455","Synthesis, cytotoxic activities and cell cycle arrest profiles of naphtho[2,1-α]pyrrolo[3,4-c]carbazole-5,7(6H,12H)-dione glycosides","Ding N, Du X, Zhang W, Lu Z, Li Y.","Bioorg Med Chem Lett. 2011 Jun 15;21(12):3531-5. doi: 10.1016/j.bmcl.2011.04.145. Epub 2011 May 5.","Ding N","Bioorg Med Chem Lett","2011","2011/05/24","","","10.1016/j.bmcl.2011.04.145"
"21024253","Nota microquimica sobre la dionina (clorhidrato de etilmorfina)","HERRERO DUCLOUX E.","Bol Acad Nac Cienc. 1945;37(3-4):310-26.","HERRERO DUCLOUX E","Bol Acad Nac Cienc","1945","2010/10/29","","",""
"20557447","Characterization of xenobiotic metabolizing enzymes in bovine small intestinal mucosa","Virkel G, Carletti M, Cantiello M, Della Donna L, Gardini G, Girolami F, Nebbia C.","J Vet Pharmacol Ther. 2010 Jun 1;33(3):295-303. doi: 10.1111/j.1365-2885.2009.01137.x.","Virkel G","J Vet Pharmacol Ther","2010","2010/06/19","","","10.1111/j.1365-2885.2009.01137.x"
"20252468","[Iontophoresis with dionin used as symptomatic treatment in pulmonary tuberculosis]","ELNIK VI.","Gosp Delo. 1947;(2):48-51.","ELNIK VI","Gosp Delo","1947","2010/03/19","","",""
"20158595","Death of a 10-month-old boy after exposure to ethylmorphine","Helland A, Isaksen CV, Slørdal L.","J Forensic Sci. 2010 Mar 1;55(2):551-3. doi: 10.1111/j.1556-4029.2009.01294.x. Epub 2010 Feb 11.","Helland A","J Forensic Sci","2010","2010/02/18","","","10.1111/j.1556-4029.2009.01294.x"
