PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32159524","[Effects of krokodil (desomorphine) use on oral health]","van Kempen EEJ, Boswinkel WA, Brand HS.","Ned Tijdschr Tandheelkd. 2020 Jan;127(1):13-17. doi: 10.5177/ntvt.2020.01.19102.","van Kempen EEJ","Ned Tijdschr Tandheelkd","2020","2020/03/12","","","10.5177/ntvt.2020.01.19102"
"31812305","""Krokodil"" drug - Related osteonecrosis of midface: A case series","Hakobyan K, Poghosyan Y.","J Craniomaxillofac Surg. 2019 Dec;47(12):1918-1921. doi: 10.1016/j.jcms.2019.11.002. Epub 2019 Nov 22.","Hakobyan K","J Craniomaxillofac Surg","2019","2019/12/09","","","10.1016/j.jcms.2019.11.002"
"31705099","Effects of krokodil (desomorphine) use on oral health - a systematic review","van Kempen EEJ, Brand HS.","Br Dent J. 2019 Nov;227(9):806-812. doi: 10.1038/s41415-019-0854-x.","van Kempen EEJ","Br Dent J","2019","2019/11/10","","","10.1038/s41415-019-0854-x"
"31235492","Necrotic leg ulcers associated with krokodil injection in a 41-year-old man","Ghazawi FM, Beecker J.","CMAJ. 2019 Jun 24;191(25):E712. doi: 10.1503/cmaj.190027.","Ghazawi FM","CMAJ","2019","2019/06/26","PMC6592803","","10.1503/cmaj.190027"
"30927356","Stability and Hydrolysis of Desomorphine-Glucuronide","Winborn J, Kerrigan S.","J Anal Toxicol. 2019 Aug 23;43(7):536-542. doi: 10.1093/jat/bkz021.","Winborn J","J Anal Toxicol","2019","2019/03/31","","","10.1093/jat/bkz021"
"30640162","Quantitative analysis of desomorphine in blood and urine using solid phase extraction and gas chromatography-mass spectrometry","Winborn J, Kerrigan S.","J Chromatogr B Analyt Technol Biomed Life Sci. 2019 Feb 1;1106-1107:43-49. doi: 10.1016/j.jchromb.2018.12.022. Epub 2018 Dec 18.","Winborn J","J Chromatogr B Analyt Technol Biomed Life Sci","2019","2019/01/15","","","10.1016/j.jchromb.2018.12.022"
"30590627","Analysis of Desomorphine in Urine Using Liquid Chromatography-Tandem Mass Spectrometry","Winborn J, Kerrigan S.","J Anal Toxicol. 2019 Jun 1;43(5):340-345. doi: 10.1093/jat/bky103.","Winborn J","J Anal Toxicol","2019","2018/12/28","","","10.1093/jat/bky103"
"30247009","[Multislice computed tomography in the diagnosis of toxic phosphorus necrosis of the jaw]","Serova NS, Kureshova DN, Babkova AA, Basin EM.","Vestn Rentgenol Radiol. 2015 Sep-Oct;(5):11-6.","Serova NS","Vestn Rentgenol Radiol","2015","2018/09/25","","",""
"29864600","In vitro metabolism of desomorphine","Winborn J, Haines D, Kerrigan S.","Forensic Sci Int. 2018 Aug;289:140-149. doi: 10.1016/j.forsciint.2018.05.017. Epub 2018 May 18.","Winborn J","Forensic Sci Int","2018","2018/06/05","","","10.1016/j.forsciint.2018.05.017"
"29615315","The use of buccal fat pad in surgical treatment of 'Krokodil' drug-related osteonecrosis of maxilla","Hakobyan K, Poghosyan Y, Kasyan A.","J Craniomaxillofac Surg. 2018 May;46(5):831-836. doi: 10.1016/j.jcms.2018.03.007. Epub 2018 Mar 20.","Hakobyan K","J Craniomaxillofac Surg","2018","2018/04/05","","","10.1016/j.jcms.2018.03.007"
"29556967","Lethal endomyocarditis caused by chronic ""Krokodil"" intoxication","Sorrentino A, Trotta S, Colucci AP, Aventaggiato L, Marzullo A, Solarino B.","Forensic Sci Med Pathol. 2018 Jun;14(2):229-235. doi: 10.1007/s12024-018-9967-9. Epub 2018 Mar 19.","Sorrentino A","Forensic Sci Med Pathol","2018","2018/03/21","","","10.1007/s12024-018-9967-9"
"28708940","Street-Like Synthesis of Krokodil Results in the Formation of an Enlarged Cluster of Known and New Morphinans","Soares JX, Alves EA, Silva AMN, de Figueiredo NG, Neves JF, Cravo SM, Rangel M, Netto ADP, Carvalho F, Dinis-Oliveira RJ, Afonso CM.","Chem Res Toxicol. 2017 Aug 21;30(8):1609-1621. doi: 10.1021/acs.chemrestox.7b00126. Epub 2017 Aug 4.","Soares JX","Chem Res Toxicol","2017","2017/07/15","","","10.1021/acs.chemrestox.7b00126"
"28657190","Repeated subcutaneous administrations of krokodil causes skin necrosis and internal organs toxicity in Wistar rats: putative human implications","Alves EA, Brandão P, Neves JF, Cravo SM, Soares JX, Grund JC, Duarte JA, Afonso CMM, Pereira Netto AD, Carvalho F, Dinis-Oliveira RJ.","Hum Psychopharmacol. 2017 May;32(3). doi: 10.1002/hup.2572.","Alves EA","Hum Psychopharmacol","2017","2017/06/29","","","10.1002/hup.2572"
"28369523","Desomorphine Screening Using Commercial Enzyme-Linked Immunosorbent Assays","Winborn J, Kerrigan S.","J Anal Toxicol. 2017 Jun 1;41(5):455-460. doi: 10.1093/jat/bkx024.","Winborn J","J Anal Toxicol","2017","2017/04/04","","","10.1093/jat/bkx024"
"28251363","Spontaneous bone formation after mandible segmental resection in ""krokodil"" drug-related jaw osteonecrosis patient: case report","Hakobyan K, Poghosyan Y.","Oral Maxillofac Surg. 2017 Jun;21(2):267-270. doi: 10.1007/s10006-017-0613-6. Epub 2017 Mar 1.","Hakobyan K","Oral Maxillofac Surg","2017","2017/03/03","","","10.1007/s10006-017-0613-6"
"28199917","Desomorphine (Krokodil): An overview of its chemistry, pharmacology, metabolism, toxicology and analysis","Florez DHÂ, Dos Santos Moreira AM, da Silva PR, Brandão R, Borges MMC, de Santana FJM, Borges KB.","Drug Alcohol Depend. 2017 Apr 1;173:59-68. doi: 10.1016/j.drugalcdep.2016.12.021. Epub 2017 Jan 31.","Florez DHÂ","Drug Alcohol Depend","2017","2017/02/16","","","10.1016/j.drugalcdep.2016.12.021"
"27391849","Orally ingestion of krokodil in Spain: report of a case","Baquero Escribano A, Beltrán Negre MT, Calvo Orenga G, Carratalá Monfort S, Arnau Peiró F, Meca Zapatero S, Haro Cortés G.","Adicciones. 2016 Jun 14;28(4):242-245. doi: 10.20882/adicciones.828.","Baquero Escribano A","Adicciones","2016","2016/07/09","","","10.20882/adicciones.828"
"27372715","Metabolic fate of desomorphine elucidated using rat urine, pooled human liver preparations, and human hepatocyte cultures as well as its detectability using standard urine screening approaches","Richter LH, Kaminski YR, Noor F, Meyer MR, Maurer HH.","Anal Bioanal Chem. 2016 Sep;408(23):6283-94. doi: 10.1007/s00216-016-9740-4. Epub 2016 Jul 2.","Richter LH","Anal Bioanal Chem","2016","2016/07/04","","","10.1007/s00216-016-9740-4"
"26331178","Toxic phosphorous osteonecrosis of facial bones among drug addicts to desomorphine and pervitin. Part II","Basin EM, Medvedev YA.","Stomatologiia (Mosk). 2015;94(3):67-69. doi: 10.17116/stomat201594367-69.","Basin EM","Stomatologiia (Mosk)","2015","2015/09/03","","","10.17116/stomat201594367-69"
"26282512","The harmful chemistry behind ""krokodil"": Street-like synthesis and product analysis","Alves EA, Soares JX, Afonso CM, Grund JC, Agonia AS, Cravo SM, Netto ADP, Carvalho F, Dinis-Oliveira RJ.","Forensic Sci Int. 2015 Dec;257:76-82. doi: 10.1016/j.forsciint.2015.07.042. Epub 2015 Aug 3.","Alves EA","Forensic Sci Int","2015","2015/08/19","","","10.1016/j.forsciint.2015.07.042"
"26171547","[Toxic phosphorus osteonecrosis of facial bones among drug addicts to desomorphine and pervitin. Part I]","Basin EM, Medvedev YA.","Stomatologiia (Mosk). 2015;94(2):53-57. doi: 10.17116/stomat201594253-57.","Basin EM","Stomatologiia (Mosk)","2015","2015/07/15","","","10.17116/stomat201594253-57"
"26033290","Krokodile Injectors in Ukraine: Fueling the HIV Epidemic?","Booth RE, Davis JM, Brewster JT, Lisovska O, Dvoryak S.","AIDS Behav. 2016 Feb;20(2):369-76. doi: 10.1007/s10461-015-1008-z.","Booth RE","AIDS Behav","2016","2015/06/03","","","10.1007/s10461-015-1008-z"
"26001995","Lower extremity manifestations of ""skin-popping"" an illicit drug use technique: A report of two cases","Canales M, Gerhard J, Younce E.","Foot (Edinb). 2015 Jun;25(2):114-9. doi: 10.1016/j.foot.2015.03.003. Epub 2015 Mar 12.","Canales M","Foot (Edinb)","2015","2015/05/24","","","10.1016/j.foot.2015.03.003"
"25975861","Don׳t Feed the ""Krokodil"": Desomorphine Fear Outpaces Reality","Bowen KP, Barusch NM, Lara DL, Trinidad BJ, Caplan JP, McKnight CA.","Psychosomatics. 2015 May-Jun;56(3):312-3. doi: 10.1016/j.psym.2014.10.002. Epub 2014 Oct 2.","Bowen KP","Psychosomatics","2015","2015/05/16","","","10.1016/j.psym.2014.10.002"
"25756471","""Krokodil""-a menace slowly spreading across the Atlantic","Oliver T, Gheevarghese SJ, Gandhi U, Bhat ZY, Pillai U.","Am J Ther. 2015 May-Jun;22(3):231-3. doi: 10.1097/MJT.0000000000000085.","Oliver T","Am J Ther","2015","2015/03/11","","","10.1097/MJT.0000000000000085"
"25710781","The harmful chemistry behind krokodil (desomorphine) synthesis and mechanisms of toxicity","Alves EA, Grund JP, Afonso CM, Netto AD, Carvalho F, Dinis-Oliveira RJ.","Forensic Sci Int. 2015 Apr;249:207-13. doi: 10.1016/j.forsciint.2015.02.001. Epub 2015 Feb 7.","Alves EA","Forensic Sci Int","2015","2015/02/25","","","10.1016/j.forsciint.2015.02.001"
"25236385","Internet search and krokodil in the Russian Federation: an infoveillance study","Zheluk A, Quinn C, Meylakhs P.","J Med Internet Res. 2014 Sep 18;16(9):e212. doi: 10.2196/jmir.3203.","Zheluk A","J Med Internet Res","2014","2014/09/20","PMC4180331","","10.2196/jmir.3203"
"24969764","Surgical treatment of jaw osteonecrosis in ""Krokodil"" drug addicted patients","Poghosyan YM, Hakobyan KA, Poghosyan AY, Avetisyan EK.","J Craniomaxillofac Surg. 2014 Dec;42(8):1639-43. doi: 10.1016/j.jcms.2014.05.005. Epub 2014 May 28.","Poghosyan YM","J Craniomaxillofac Surg","2014","2014/06/28","","","10.1016/j.jcms.2014.05.005"
