PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24536281","Nisentil, a new analgesic drug for use in obstetrics; a preliminary report","THELEN C.","Jackson Clin Bull. 1949 Nov;11(6):170-2.","THELEN C","Jackson Clin Bull","1949","2014/02/19","","",""
"21299003","[Three auxiliary medications in obstetrics. 1955]","Lagarde LA, Ortiz de la Peña R, Bravo Serradell O.","Ginecol Obstet Mex. 2010 Nov;78(11):633-41.","Lagarde LA","Ginecol Obstet Mex","2010","2011/02/09","","",""
"18140500","The obstetric use and effect of fetal respiration of nisentil","HAPKE FB, BARNES AC.","Am J Obstet Gynecol. 1949 Oct;58(4):799-801. doi: 10.1016/s0002-9378(16)39240-7.","HAPKE FB","Am J Obstet Gynecol","1949","1949/10/01","","","10.1016/s0002-9378(16)39240-7"
"16883776","Structure determination of neoefrapeptins A to N: peptides with insecticidal activity produced by the fungus Geotrichum candidum","Fredenhagen A, Molleyres LP, Böhlendorf B, Laue G.","J Antibiot (Tokyo). 2006 May;59(5):267-80. doi: 10.1038/ja.2006.38.","Fredenhagen A","J Antibiot (Tokyo)","2006","2006/08/04","","","10.1038/ja.2006.38"
"14897783","Influence of analgesics, dromoran, nisentil and morphine, on pain thresholds in man","LEE RE, PFEIFFER CC.","J Appl Physiol. 1951 Sep;4(3):193-8. doi: 10.1152/jappl.1951.4.3.193.","LEE RE","J Appl Physiol","1951","1951/09/01","","","10.1152/jappl.1951.4.3.193"
"14894843","The effect of nisentil upon the intra-uterine respiratory movements of the rabbit fetus","HURLBUT DB, DILLE JM.","Anesthesiology. 1952 Jan;13(1):71-6. doi: 10.1097/00000542-195201000-00009.","HURLBUT DB","Anesthesiology","1952","1952/01/01","","","10.1097/00000542-195201000-00009"
"14863612","Nisentil in 1,000 obstetric cases","LaFORGE HG.","N Y State J Med. 1951 Aug 1;51(15):1835-8.","LaFORGE HG","N Y State J Med","1951","1951/08/01","","",""
"14495930","Immediate reversibility of ""sleep-anesthesia"" induced with alpha-prodine and nitrous-oxide","SADOVE MS, YARBROUGH CG, BECKA DR.","J Neuropsychiatr. 1961 Oct;3:35-7.","SADOVE MS","J Neuropsychiatr","1961","1961/10/01","","",""
"14396810","Use of nisentil hydrochloride in urology","ASHMORE AJ, MOON OB.","Tex State J Med. 1955 Jul;51(7):463-5.","ASHMORE AJ","Tex State J Med","1955","1955/07/01","","",""
"14394790","Comparison of nisentil and meperidine for the supplementation of nitrous oxide-oxygen, thiopental sodium anesthesia","SIKER ES, FOLDES FF, PAHK NM, SWERDLOW M.","Pa Med J. 1955 Jul;58(7):702-4.","SIKER ES","Pa Med J","1955","1955/07/01","","",""
"14386613","[Nisentil, an obstetrical analgesic]","FERRON M.","Union Med Can. 1955 Apr;84(4):431-3.","FERRON M","Union Med Can","1955","1955/04/01","","",""
"14365203","Preoperative sedation with nisentil","BELINKOFF S.","Curr Res Anesth Analg. 1955 Mar-Apr;34(2):116-8.","BELINKOFF S","Curr Res Anesth Analg","1955","1955/03/01","","",""
"14363558","The effects of nisentil hydrochloride and levallorphan tartrate on cerebrospinal fluid pressure","SWERDLOW M, FOLDES FF, SIKER ES.","Br J Anaesth. 1955 May;27(5):244-9. doi: 10.1093/bja/27.5.244.","SWERDLOW M","Br J Anaesth","1955","1955/05/01","","","10.1093/bja/27.5.244"
"14359066","Clinical observations on the use of alphaprodine (nisentil) for postoperative analgesia","BACHRACH EH, GODHOLM AN, BETCHER AM.","Surgery. 1955 Mar;37(3):440-5.","BACHRACH EH","Surgery","1955","1955/03/01","","",""
"14355037","[Nisentil and bronchoscopy]","HALLE J, DECHENE JP, MONTMINY L, PARADIS G.","Laval Med. 1955 Jan;20(1):52-6.","HALLE J","Laval Med","1955","1955/01/01","","",""
"14342932","THE EFFICACY OF PLACEBO ON PAIN PERCEPTION THRESHOLD","BLAIR AE.","Oral Surg Oral Med Oral Pathol. 1965 Sep;20:384-91. doi: 10.1016/0030-4220(65)90172-6.","BLAIR AE","Oral Surg Oral Med Oral Pathol","1965","1965/09/01","","","10.1016/0030-4220(65)90172-6"
"14169726","NEWBORN ATTENTION AS AFFECTED BY MEDICATION DURING LABOR","STECHLER G.","Science. 1964 Apr 17;144(3616):315-7. doi: 10.1126/science.144.3616.315.","STECHLER G","Science","1964","1964/04/17","","","10.1126/science.144.3616.315"
"14061502","THE USE OF ALPHAPRODINE (NISENTIL) FOR THE PRODUCTION OF SURGICAL ANESTHESIA","HARTMAN MM, SCHWAB JM.","Surg Clin North Am. 1963 Oct;43:1229-42. doi: 10.1016/s0039-6109(16)37078-5.","HARTMAN MM","Surg Clin North Am","1963","1963/10/01","","","10.1016/s0039-6109(16)37078-5"
"14048175","NARCOSIS FOR OTOLOGIC SURGERY. USE OF THIAMYLAL, ALPHAPRODINE, LEVALLORPHAN","MILLER GL, SHEA JJ.","Arch Otolaryngol. 1963 Aug;78:155-9. doi: 10.1001/archotol.1963.00750020163010.","MILLER GL","Arch Otolaryngol","1963","1963/08/01","","","10.1001/archotol.1963.00750020163010"
"14016878","Intravenous Nisentil and Lorfan in dental anesthesia: a report on 2,000 cases","BURBANK PM.","Anesth Analg. 1963 Mar-Apr;42:275-82.","BURBANK PM","Anesth Analg","1963","1963/03/01","","",""
"13944939","[Preliminary clinical study on the use of dihexyverine in obstetrics]","FERRON M.","Can Med Assoc J. 1962 Nov 24;87(21):1121-3.","FERRON M","Can Med Assoc J","1962","1962/11/24","PMC1849825","",""
"13904784","Ethynyl and styryl compounds of the prodine type","HARPER NJ, FULLERTON SE.","J Med Pharm Chem. 1961 Sep 8;4:297-316. doi: 10.1021/jm50018a005.","HARPER NJ","J Med Pharm Chem","1961","1961/09/08","","","10.1021/jm50018a005"
"13825263","A further study in the combined use of alphaprodine (nisentil) hydrochloride and levallorphan (lorfan) tartrate for analgesia in obstetrics","FRISCHMAN B, BACKNER DD, VISENFELD A.","Isr Med J. 1960 Mar-Apr;19:64-8.","FRISCHMAN B","Isr Med J","1960","1960/03/01","","",""
