PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31492823","Preclinical Testing of Nalfurafine as an Opioid-sparing Adjuvant that Potentiates Analgesia by the Mu Opioid Receptor-targeting Agonist Morphine","Kaski SW, White AN, Gross JD, Trexler KR, Wix K, Harland AA, Prisinzano TE, Aubé J, Kinsey SG, Kenakin T, Siderovski DP, Setola V.","J Pharmacol Exp Ther. 2019 Nov;371(2):487-499. doi: 10.1124/jpet.118.255661. Epub 2019 Sep 6.","Kaski SW","J Pharmacol Exp Ther","2019","2019/09/08","PMC6863463","","10.1124/jpet.118.255661"
"30943482","Prevalence and Severity of Itching in Patients with End-Stage Renal Disease: Treatment with Nalfurafine Hydrochloride","Nakamoto H, Kobayashi T, Noguchi T, Kusano T, Ashitani K, Imaeda H, Maezono M.","Blood Purif. 2019;47 Suppl 2:45-49. doi: 10.1159/000496637. Epub 2019 Apr 3.","Nakamoto H","Blood Purif","2019","2019/04/04","","","10.1159/000496637"
"30082888","Phosphoproteomic approach for agonist-specific signaling in mouse brains: mTOR pathway is involved in κ opioid aversion","Liu JJ, Chiu YT, DiMattio KM, Chen C, Huang P, Gentile TA, Muschamp JW, Cowan A, Mann M, Liu-Chen LY.","Neuropsychopharmacology. 2019 Apr;44(5):939-949. doi: 10.1038/s41386-018-0155-0. Epub 2018 Jul 20.","Liu JJ","Neuropsychopharmacology","2019","2018/08/08","PMC6462019","","10.1038/s41386-018-0155-0"
"29663077","Is patient-reported outcome improved by nalfurafine hydrochloride in patients with primary biliary cholangitis and refractory pruritus? A post-marketing, single-arm, prospective study","Yagi M, Tanaka A, Namisaki T, Takahashi A, Abe M, Honda A, Matsuzaki Y, Ohira H, Yoshiji H, Takikawa H; Japan PBC Study Group (JPBCSG).","J Gastroenterol. 2018 Oct;53(10):1151-1158. doi: 10.1007/s00535-018-1465-z. Epub 2018 Apr 16.","Yagi M","J Gastroenterol","2018","2018/04/18","","","10.1007/s00535-018-1465-z"
"29493371","Therapy for pruritus in the elderly: a review of treatment developments","Pereira MP, Ständer S.","Expert Opin Pharmacother. 2018 Apr;19(5):443-450. doi: 10.1080/14656566.2018.1444752. Epub 2018 Mar 1.","Pereira MP","Expert Opin Pharmacother","2018","2018/03/02","","","10.1080/14656566.2018.1444752"
"29093296","Discovery of Peripheral κ-Opioid Receptor Agonists as Novel Analgesics","Suzuki S, Sugawara Y, Inada H, Tsuji R, Inoue A, Tanimura R, Shimozono R, Konno M, Ohyama T, Higashi E, Sakai C, Kawai K.","Chem Pharm Bull (Tokyo). 2017;65(11):1085-1088. doi: 10.1248/cpb.c17-00555.","Suzuki S","Chem Pharm Bull (Tokyo)","2017","2017/11/03","","","10.1248/cpb.c17-00555"
"29063139","Dissociable effects of the kappa opioid receptor agonist nalfurafine on pain/itch-stimulated and pain/itch-depressed behaviors in male rats","Lazenka ML, Moerke MJ, Townsend EA, Freeman KB, Carroll FI, Negus SS.","Psychopharmacology (Berl). 2018 Jan;235(1):203-213. doi: 10.1007/s00213-017-4758-7. Epub 2017 Oct 24.","Lazenka ML","Psychopharmacology (Berl)","2018","2017/10/25","PMC5750069","NIHMS915211","10.1007/s00213-017-4758-7"
"28923831","International Comparisons of Prevalence, Awareness, and Treatment of Pruritus in People on Hemodialysis","Rayner HC, Larkina M, Wang M, Graham-Brown M, van der Veer SN, Ecder T, Hasegawa T, Kleophas W, Bieber BA, Tentori F, Robinson BM, Pisoni RL.","Clin J Am Soc Nephrol. 2017 Dec 7;12(12):2000-2007. doi: 10.2215/CJN.03280317. Epub 2017 Sep 18.","Rayner HC","Clin J Am Soc Nephrol","2017","2017/09/20","PMC5718267","","10.2215/CJN.03280317"
"28688957","Discovery of highly selective κ-opioid receptor agonists: 10α-Hydroxy TRK-820 derivatives","Suzuki S, Sugawara Y, Tsuji R, Tanimura R, Kaneko C, Yuzawa N, Yagi M, Kawai K.","Bioorg Med Chem Lett. 2017 Aug 15;27(16):3920-3924. doi: 10.1016/j.bmcl.2017.06.017. Epub 2017 Jun 12.","Suzuki S","Bioorg Med Chem Lett","2017","2017/07/10","","","10.1016/j.bmcl.2017.06.017"
"28649993","κ-Opioid Receptor Activation in Dopamine Neurons Disrupts Behavioral Inhibition","Abraham AD, Fontaine HM, Song AJ, Andrews MM, Baird MA, Kieffer BL, Land BB, Chavkin C.","Neuropsychopharmacology. 2018 Jan;43(2):362-372. doi: 10.1038/npp.2017.133. Epub 2017 Jun 26.","Abraham AD","Neuropsychopharmacology","2018","2017/06/27","PMC5729556","","10.1038/npp.2017.133"
"28605064","Characterization of the chloroquine-induced mouse model of pruritus using an automated behavioural system","Tarrasón G, Carcasona C, Eichhorn P, Pérez B, Gavaldà A, Godessart N.","Exp Dermatol. 2017 Nov;26(11):1105-1111. doi: 10.1111/exd.13392. Epub 2017 Aug 15.","Tarrasón G","Exp Dermatol","2017","2017/06/13","","","10.1111/exd.13392"
"28604788","Long-term efficacy and safety of nalfurafine hydrochloride on pruritus in chronic liver disease patients: Patient-reported outcome based analyses","Kamimura K, Yokoo T, Kamimura H, Sakamaki A, Abe S, Tsuchiya A, Takamura M, Kawai H, Yamagiwa S, Terai S.","PLoS One. 2017 Jun 12;12(6):e0178991. doi: 10.1371/journal.pone.0178991. eCollection 2017.","Kamimura K","PLoS One","2017","2017/06/13","PMC5467861","","10.1371/journal.pone.0178991"
"28567699","Effects of nalfurafine on the reinforcing, thermal antinociceptive, and respiratory-depressant effects of oxycodone: modeling an abuse-deterrent opioid analgesic in rats","Townsend EA, Naylor JE, Negus SS, Edwards SR, Qureshi HN, McLendon HW, McCurdy CR, Kapanda CN, do Carmo JM, da Silva FS, Hall JE, Sufka KJ, Freeman KB.","Psychopharmacology (Berl). 2017 Sep;234(17):2597-2605. doi: 10.1007/s00213-017-4652-3. Epub 2017 May 31.","Townsend EA","Psychopharmacology (Berl)","2017","2017/06/02","PMC5709149","NIHMS881057","10.1007/s00213-017-4652-3"
"28088389","Nalfurafine is a G-protein biased agonist having significantly greater bias at the human than rodent form of the kappa opioid receptor","Schattauer SS, Kuhar JR, Song A, Chavkin C.","Cell Signal. 2017 Apr;32:59-65. doi: 10.1016/j.cellsig.2017.01.016. Epub 2017 Jan 11.","Schattauer SS","Cell Signal","2017","2017/01/16","PMC5779083","NIHMS933470","10.1016/j.cellsig.2017.01.016"
