PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31222975","The sigma-1 receptor behaves as an atypical auxiliary subunit to modulate the functional characteristics of Kv1.2 channels expressed in HEK293 cells","Abraham MJ, Fleming KL, Raymond S, Wong AYC, Bergeron R.","Physiol Rep. 2019 Jul;7(12):e14147. doi: 10.14814/phy2.14147.","Abraham MJ","Physiol Rep","2019","2019/06/22","PMC6586770","","10.14814/phy2.14147"
"30522963","SKF-10047, a prototype Sigma-1 receptor agonist, augmented the membrane trafficking and uptake activity of the serotonin transporter and its C-terminus-deleted mutant via a Sigma-1 receptor-independent mechanism","Asano M, Motoike S, Yokota C, Usuki N, Yamamoto H, Urabe T, Katarao K, Hide I, Tanaka S, Kawamoto M, Irifune M, Sakai N.","J Pharmacol Sci. 2019 Jan;139(1):29-36. doi: 10.1016/j.jphs.2018.11.005. Epub 2018 Nov 24.","Asano M","J Pharmacol Sci","2019","2018/12/08","","","10.1016/j.jphs.2018.11.005"
"27721146","(+)-and (-)-Phenazocine enantiomers: Evaluation of their dual opioid agonist/σ(1) antagonist properties and antinociceptive effects","Prezzavento O, Arena E, Sánchez-Fernández C, Turnaturi R, Parenti C, Marrazzo A, Catalano R, Amata E, Pasquinucci L, Cobos EJ.","Eur J Med Chem. 2017 Jan 5;125:603-610. doi: 10.1016/j.ejmech.2016.09.077. Epub 2016 Sep 26.","Prezzavento O","Eur J Med Chem","2017","2016/10/11","","","10.1016/j.ejmech.2016.09.077"
"27373906","Activation of the sigma receptor 1 modulates AMPA receptor-mediated light-evoked excitatory postsynaptic currents in rat retinal ganglion cells","Liu LL, Deng QQ, Weng SJ, Yang XL, Zhong YM.","Neuroscience. 2016 Sep 22;332:53-60. doi: 10.1016/j.neuroscience.2016.06.045. Epub 2016 Jun 30.","Liu LL","Neuroscience","2016","2016/07/05","","","10.1016/j.neuroscience.2016.06.045"
"27339616","Involvement of GABAA receptors in 5-HT1A and σ1 receptor synergism on prefrontal dopaminergic transmission under circulating neurosteroid deficiency","Ago Y, Hasebe S, Hiramatsu N, Mori K, Watabe Y, Onaka Y, Hashimoto H, Takuma K, Matsuda T.","Psychopharmacology (Berl). 2016 Sep;233(17):3125-34. doi: 10.1007/s00213-016-4353-3. Epub 2016 Jun 23.","Ago Y","Psychopharmacology (Berl)","2016","2016/06/25","","","10.1007/s00213-016-4353-3"
"27236030","Effects of the psychotomimetic benzomorphan N-allylnormetazocine (SKF 10,047) on prepulse inhibition of startle in mice","Halberstadt AL, Hyun J, Ruderman MA, Powell SB.","Pharmacol Biochem Behav. 2016 Sep;148:69-75. doi: 10.1016/j.pbb.2016.05.009. Epub 2016 May 26.","Halberstadt AL","Pharmacol Biochem Behav","2016","2016/05/29","PMC5662292","NIHMS796815","10.1016/j.pbb.2016.05.009"
"26854125","Allosteric Modulation of Sigma-1 Receptors Elicits Rapid Antidepressant Activity","Wang Y, Guo L, Jiang HF, Zheng LT, Zhang A, Zhen XC.","CNS Neurosci Ther. 2016 May;22(5):368-77. doi: 10.1111/cns.12502. Epub 2016 Feb 8.","Wang Y","CNS Neurosci Ther","2016","2016/02/09","PMC6492821","","10.1111/cns.12502"
"25143613","NMDA receptors are upregulated and trafficked to the plasma membrane after sigma-1 receptor activation in the rat hippocampus","Pabba M, Wong AY, Ahlskog N, Hristova E, Biscaro D, Nassrallah W, Ngsee JK, Snyder M, Beique JC, Bergeron R.","J Neurosci. 2014 Aug 20;34(34):11325-38. doi: 10.1523/JNEUROSCI.0458-14.2014.","Pabba M","J Neurosci","2014","2014/08/22","PMC6615506","","10.1523/JNEUROSCI.0458-14.2014"
"23851260","Synergistic effect of 5-HT1A and σ1 receptor activation on prefrontal dopaminergic transmission under circulating steroid deficiency","Hiramatsu N, Ago Y, Hasebe S, Nishimura A, Mori K, Takuma K, Matsuda T.","Neuropharmacology. 2013 Dec;75:53-61. doi: 10.1016/j.neuropharm.2013.06.026. Epub 2013 Jul 9.","Hiramatsu N","Neuropharmacology","2013","2013/07/16","","","10.1016/j.neuropharm.2013.06.026"
"23183135","Sigma-1 receptor stimulation attenuates calcium influx through activated L-type Voltage Gated Calcium Channels in purified retinal ganglion cells","Mueller BH 2nd, Park Y, Daudt DR 3rd, Ma HY, Akopova I, Stankowska DL, Clark AF, Yorio T.","Exp Eye Res. 2013 Feb;107:21-31. doi: 10.1016/j.exer.2012.11.002. Epub 2012 Nov 23.","Mueller BH 2nd","Exp Eye Res","2013","2012/11/28","","","10.1016/j.exer.2012.11.002"
"23139844","Sigma-1 receptor agonists directly inhibit Nav1.2/1.4 channels","Gao XF, Yao JJ, He YL, Hu C, Mei YA.","PLoS One. 2012;7(11):e49384. doi: 10.1371/journal.pone.0049384. Epub 2012 Nov 5.","Gao XF","PLoS One","2012","2012/11/10","PMC3489664","","10.1371/journal.pone.0049384"
"22981417","Straub tail reaction in mice treated with σ(1) receptor antagonist in combination with methamphetamine","Kitanaka J, Kitanaka N, Hall FS, Uhl GR, Tanaka K, Nishiyama N, Takemura M.","Brain Res. 2012 Oct 30;1482:40-6. doi: 10.1016/j.brainres.2012.09.001. Epub 2012 Sep 8.","Kitanaka J","Brain Res","2012","2012/09/18","PMC3922199","NIHMS514881","10.1016/j.brainres.2012.09.001"
"22925888","Inhibition of tumor cell growth by Sigma1 ligand mediated translational repression","Kim FJ, Schrock JM, Spino CM, Marino JC, Pasternak GW.","Biochem Biophys Res Commun. 2012 Sep 21;426(2):177-82. doi: 10.1016/j.bbrc.2012.08.052. Epub 2012 Aug 17.","Kim FJ","Biochem Biophys Res Commun","2012","2012/08/29","PMC3480203","NIHMS406752","10.1016/j.bbrc.2012.08.052"
"22748735","Effects of (+) SKF 10,047, a sigma-1 receptor agonist, on anxiety,tested in two laboratory models in mice","Navarro JF, Beltrán D, Cavas M.","Psicothema. 2012;24(3):427-30.","Navarro JF","Psicothema","2012","2012/07/04","","",""
"22486521","Inhibitory effects of sigma-1 ligands on handling-induced tachycardia in conscious tethered rats","Delaunois A, De Ron P, Detrait E, Guyaux M.","Fundam Clin Pharmacol. 2013 Aug;27(4):354-63. doi: 10.1111/j.1472-8206.2012.01042.x. Epub 2012 Apr 5.","Delaunois A","Fundam Clin Pharmacol","2013","2012/04/11","","","10.1111/j.1472-8206.2012.01042.x"
"22357973","σ-1 Receptor agonist SKF10047 inhibits glutamate release in rat cerebral cortex nerve endings","Lu CW, Lin TY, Wang CC, Wang SJ.","J Pharmacol Exp Ther. 2012 May;341(2):532-42. doi: 10.1124/jpet.111.191189. Epub 2012 Feb 22.","Lu CW","J Pharmacol Exp Ther","2012","2012/02/24","","","10.1124/jpet.111.191189"
"21487652","Fluvoxamine enhances prefrontal dopaminergic neurotransmission in adrenalectomized/castrated mice via both 5-HT reuptake inhibition and σ(1) receptor activation","Ago Y, Yano K, Hiramatsu N, Takuma K, Matsuda T.","Psychopharmacology (Berl). 2011 Oct;217(3):377-86. doi: 10.1007/s00213-011-2293-5. Epub 2011 Apr 13.","Ago Y","Psychopharmacology (Berl)","2011","2011/04/14","","","10.1007/s00213-011-2293-5"
"21392175","Sigma-1 receptor function is critical for both the discriminative stimulus and aversive effects of the kappa-opioid receptor agonist U-50488H","Mori T, Yoshizawa K, Nomura M, Isotani K, Torigoe K, Tsukiyama Y, Narita M, Suzuki T.","Addict Biol. 2012 Jul;17(4):717-24. doi: 10.1111/j.1369-1600.2010.00306.x. Epub 2011 Mar 11.","Mori T","Addict Biol","2012","2011/03/12","","","10.1111/j.1369-1600.2010.00306.x"
"21084640","Antagonist action of progesterone at σ-receptors in the modulation of voltage-gated sodium channels","Johannessen M, Fontanilla D, Mavlyutov T, Ruoho AE, Jackson MB.","Am J Physiol Cell Physiol. 2011 Feb;300(2):C328-37. doi: 10.1152/ajpcell.00383.2010. Epub 2010 Nov 17.","Johannessen M","Am J Physiol Cell Physiol","2011","2010/11/19","PMC3043630","","10.1152/ajpcell.00383.2010"
"19686790","The C-terminal amidated analogue of the substance P (SP) fragment SP(1-7) attenuates the expression of naloxone-precipitated withdrawal in morphine dependent rats","Zhou Q, Carlsson A, Botros M, Fransson R, Sandström A, Gordh T, Hallberg M, Nyberg F.","Peptides. 2009 Dec;30(12):2418-22. doi: 10.1016/j.peptides.2009.08.009. Epub 2009 Aug 15.","Zhou Q","Peptides","2009","2009/08/19","","","10.1016/j.peptides.2009.08.009"
